Recipe names:
xreliquary:items/uncrafting/wither_skull - 1xitem.skull@1
botania:wands/twigwand_lightblue_magenta - 1xitem.twigWand@0
stevescarts:module/railer - 1xitem.SC2:unknownmodule@10
nuclearcraft:item.redstonerepository.armor.enderium.gelid.boots_4 - 1xitem.redstonerepository.armor.enderium.gelid.boots@0
nuclearcraft:item.redstonerepository.armor.enderium.gelid.boots_5 - 1xitem.redstonerepository.armor.enderium.gelid.boots@0
nuclearcraft:item.redstonerepository.armor.enderium.gelid.boots_2 - 1xitem.redstonerepository.armor.enderium.gelid.boots@0
nuclearcraft:item.redstonerepository.armor.enderium.gelid.boots_3 - 1xitem.redstonerepository.armor.enderium.gelid.boots@0
bloodmagic:demon_decor/demon_extras_stone_corrosive - 16xtile.bloodmagic.extras.@1
naturalpledge:aquapane - 16xtile.aqua_pane@0
botany:mortar_brown - 4xtile.null@3
botania:corporeafunnel - 1xtile.corporeaFunnel@0
plustic:metals/invar_block - 1xtile.invarblock@0
deepmoblearning:data_model/data_model_creeper - 1xitem.deepmoblearning.data_model_creeper@0
thaumcraft:label_herba - 1xitem.label@1
nuclearcraft:item.boots_shade - 1xitem.boots_shade@0
woot:stygianironplate - 1xitem.woot.stygianironplate@0
mysticalagradditions:superium_paxel - 1xitem.ma.superium_paxel@0
ironchest:shulker/orange/iron/copper_iron_shulker_box - 1xtile.IronShulkerBoxorange@0
cyclicmagic:item.ender_tnt_3_1 - 1xitem.ender_tnt_3@0
stevescarts:module/firework_display - 1xitem.SC2:unknownmodule@59
tconstruct:tools/forge/blockmanganese - 1xtile.tconstruct.toolforge@0
advancedliftingmethods:item.powered_ladder - 3xitem.powered_ladder@0
thaumicaugmentation:keyiron - 1xitem.thaumicaugmentation.key@0
nuclearcraft:item.combatmaidchestdarkened_1 - 1xitem.combatmaidchestdarkened@0
nuclearcraft:item.combatmaidchestdarkened_2 - 1xitem.combatmaidchestdarkened@0
minecraft:golden_hoe - 1xitem.hoeGold@0
mysticalagriculture:ingoturanium - 2xitem.techreborn.ingot@24
mekanism:plasticblock_0 - 4xtile.PlasticBlock@0
extratrees:olive_doors - 3xtile.doors.olive@0
mekanism:plasticblock_4 - 4xtile.PlasticBlock@4
botania:floating_tigerseye - 2xtile.air@15
mekanism:plasticblock_3 - 4xtile.PlasticBlock@3
mekanism:plasticblock_2 - 4xtile.PlasticBlock@2
bloodmagic:blood_rune/blood_rune_blank - 1xtile.bloodmagic.rune.@0
mekanism:plasticblock_1 - 4xtile.PlasticBlock@1
extraanvils:steelanvil - 1xtile.extraanvils:steel_anvil@0
jaopca:item_mysticalseedsmithrillium_rh6wxe - 1xitem.jaopca.mysticalSeeds@0
appliedenergistics2:network/blocks/controller - 1xtile.appliedenergistics2.controller@0
computercraft:printer - 1xtile.computercraft:peripheral@3
botania:wands/twigwand_gray_silver - 1xitem.twigWand@0
tp:wither_helmet - 1xitem.wither_helmet@0
tcomplement:steelworks/steel_ingot_from_nugget - 1xitem.tcomplement.materials@10
appliedenergistics2:network/cables/dense_covered_magenta - 8xitem.appliedenergistics2.part@502
jaopca:block_wallquartzblack_k7s9jf - 12xtile.jaopca.wall@0
randomthings:luminousblock_magenta - 1xtile.luminousBlock@2
jaopca:block_wallosgloglas_gca836 - 12xtile.jaopca.wall@0
integrateddynamics:part_connector_mono_directional_item - 1xparttype.parttypes.integrateddynamics.connector_mono_directional.name@0
thermalfoundation:dimensional_shard - 2xitem.dimensional_shard@0
magneticraft:limestone - 4xtile.magneticraft.limestone@1
tg:focus_savanna - 1xtile.terra_focus@9
pneumaticcraft:regulator_tube_module - 1xitem.regulator_tube_module@0
storagedrawersextra:extra_drawers_halfdrawers2_forestry_acacia - 2xtile.extraDrawers@3
embers:ingotnickel_ingot - 1xitem.ingot_nickel@0
naturalpledge:thundersap - 1xtile.thunder_sapling@0
randomthings:stainedbrick_white - 8xtile.stainedBrick@0
nuclearcraft:tile.nuclearcraft.salt_fission_wall_2 - 1xtile.nuclearcraft.salt_fission_wall@0
nuclearcraft:tile.nuclearcraft.salt_fission_wall_1 - 1xtile.nuclearcraft.salt_fission_wall@0
thaumcraft:redstoneinlay - 2xtile.inlay@0
mysticalagriculture:log2_1 - 16xtile.log@1
vanillatools:tool.hammer_gold - 1xitem.vanillaplus.tool.goldHammer@0
jaopca:block_slabgarnet_29dp3a - 6xtile.jaopca.slab@0
minecraft:purpur_block - 4xtile.purpurBlock@0
naturalpledge:eclipseboot - 1xitem.eclipse_boots@0
binniecore:field_kit - 1xitem.field_kit@63
roots:runestone_brick_from_chisel - 4xtile.runestone_brick@0
storagedrawers:basicdrawers_fulldrawers4_oak - 4xtile.storagedrawers.basicDrawers@2
mysticalagriculture:soularium_seeds - 1xitem.ma.soularium_seeds@0
extrabees:ruby_shard_gem - 1xitem.techreborn.gem@0
environmentaltech:m_resources/pladium/tiles/slabs/tiles_slabs - 6xtile.environmentaltech.pladium_tile_slab@0
forestry:planks_zebrawood - 4xtile.for.planks.1@12
nuclearcraft:item.thaumadditions:adaminite_belt - 1xitem.thaumadditions:adaminite_belt@0
magneticraft:electric_cable_normal - 12xtile.magneticraft.electric_cable@0
bibliocraft:acacia_mapframe - 1xtile.BiblioCraft:MapFrame@4
minecraft:gray_concrete_powder - 8xtile.concretePowder@7
appliedenergistics2:network/parts/monitors_conversion - 1xitem.appliedenergistics2.part@420
actuallyadditions:quintuple_battery - 1xitem.actuallyadditions.item_battery_quintuple@0
nuclearcraft:tile.nuclearcraft.heat_exchanger_controller - 1xtile.nuclearcraft.heat_exchanger_controller@0
storagedrawersextra:extra_drawers_halfdrawers2_forestry_baobab - 2xtile.extraDrawers@3
soot:slab_archaic_bricks - 6xtile.archaic_bricks_slab@0
extrabotany:recipe_bottledstar - 1xitem.bottledstar@0
woot:cell.tier_i - 1xtile.woot.cell@0
bloodmagic:soul_gem_destructive - 1xitem.bloodmagic.soulGem.@4
industrialforegoing:conveyor_12_brown - 8xtile.industrialforegoing.conveyor@12
nuclearcraft:tile.nuclearcraft.nitrogen_collector_dense - 1xtile.nuclearcraft.nitrogen_collector_dense@0
appliedenergistics2:tools/paintballs_light_gray - 8xitem.appliedenergistics2.paint_ball@8
stevescarts:module/color_randomizer - 1xitem.SC2:unknownmodule@101
tconstruct:common/glass/yellow_stained_clear_glass - 8xtile.tconstruct.clear_stained_glass@4
immersiveengineering:sheetmetal/constantan_sheetmetal - 4xtile.immersiveengineering.sheetmetal@6
bewitchment:juniper_door - 3xitem.bewitchment.juniper_door@0
mob_grinding_utils:absorption_hopper - 1xtile.mob_grinding_utils.absorption_hopper@0
bibliocraft:jungle_paintingframeborderless - 1xtile.BiblioCraft:PaintingFrameBorderless@3
complex-logic:lamp/color_lamp_brown_inverted - 1xtile.color_lamp_inverted@0
extratrees:iroko_fences - 3xtile.fences.1@14
bigreactors:reactorcasing - 4xtile.bigreactors:reactorcasing@0
roots:wood_knife - 1xitem.wood_knife@0
ironchest:shulker/gray/gold/iron_gold_shulker_box - 1xtile.IronShulkerBoxgray@1
randomthings:floosign - 1xitem.flooSign@0
advancedliftingmethods:tile.double_purpur_stairs - 1xtile.double_purpur_stairs@0
jaopca:block_slabcertusquartz_rr4vpq - 6xtile.jaopca.slab@0
xreliquary:items/mob_charm_fragments/wither_skeleton - 1xitem.mob_charm_fragment@2
deepresonance:purifier - 1xtile.deepresonance.purifier@0
bloodarsenal:gem_sacrifice - 1xitem.bloodarsenal.gem@1
unstabletools:unstable_boots - 1xitem.unstabletools:unstable_boots@0
randomthings:customworkbench - 1xtile.customWorkbench@0
nuclearcraft:item.actuallyadditions.item_pants_crystal_red_1 - 1xitem.actuallyadditions.item_pants_crystal_red@0
nuclearcraft:item.actuallyadditions.item_pants_crystal_red_2 - 1xitem.actuallyadditions.item_pants_crystal_red@0
mysticalagriculture:intermedium_boots - 1xitem.ma.intermedium_boots@0
appliedenergistics2:network/cables/glass_purple - 8xitem.appliedenergistics2.part@10
extracells:misc/fluidcrafter - 1xtile.extracells.block.fluidcrafter@0
nuclearcraft:item.pneumatic_chestplate - 1xitem.pneumatic_chestplate@0
jaopca:block_fencetin_lpxzni - 3xtile.jaopca.fence@0
engineersdoors:door_steel_reset - 1xitem.door_steel@0
mysticalagriculture:mycelium - 16xtile.mycel@0
thaumcraft:enchantedfabric - 1xitem.fabric@0
botanicadds:mana_lapis - 9xitem.botanicadds:mana_lapis@0
magneticraft:connector_down - 8xtile.magneticraft.connector@0
botania:wands/twigwand_white_yellow - 1xitem.twigWand@0
nuclearcraft:item.nuclearcraft.boots_hazmat - 1xitem.nuclearcraft.boots_hazmat@0
jaopca:block_slabcrudesteel_wsbt8n - 6xtile.jaopca.slab@0
enderutilities:syringe_stimulant - 1xitem.enderutilities.syringe@2
nuclearcraft:tile.nuclearcraft.voltaic_pile_basic - 1xtile.nuclearcraft.voltaic_pile_basic@0
nuclearcraft:item.rpsideas:ebony_leggings_1 - 1xitem.ebony_leggings@0
xnet:antenna_base - 1xtile.xnet.antenna_base@0
nuclearcraft:item.rpsideas:ebony_leggings_2 - 1xitem.ebony_leggings@0
mekanism:plasticfence_10_alt - 4xtile.PlasticFence@10
techreborn:storage2_10 - 1xtile.techreborn.storage2@1
crafttweaker:immersiveengineering-metal_decoration/aluminum_wallmount-modified - 4xtile.immersiveengineering.metal_decoration2@3
minecraft:tb.braizer - 1xtile.braizer@0
storagedrawers:key_personal - 1xitem.storagedrawers.personalKey@0
techreborn:storage2_11 - 1xtile.techreborn.storage2@1
extendedcrafting:crafting_catalyst_elite - 1xitem.ec.material@10
enderio:reinforced_obsidian - 1xtile.block_reinforced_obsidian@0
extrabotany:recipe_questionmark - 1xitem.cosmetic@7
nuclearcraft:item.osmiumhelmet_2 - 1xitem.OsmiumHelmet@0
conarm:armorforge_blockcrudesteel - 1xtile.conarm.armorforge@0
nuclearcraft:item.osmiumhelmet_1 - 1xitem.OsmiumHelmet@0
nuclearcraft:item.freerunners_3 - 1xitem.FreeRunners@0
immersiveengineering:stone_decoration/blastbrick_reinforced - 1xtile.immersiveengineering.stone_decoration@2
embers:item_pump - 1xtile.item_pump@0
nuclearcraft:item.freerunners_4 - 1xitem.FreeRunners@0
nuclearcraft:item.freerunners_1 - 1xitem.FreeRunners@0
jaopca:item_dusttinypyrite_ahp9r5 - 9xitem.jaopca.dustTiny@0
nuclearcraft:item.freerunners_2 - 1xitem.FreeRunners@0
botania:elementiumshovel - 1xitem.elementiumShovel@0
bibliocraft:darkoak_seat - 1xtile.BiblioCraft:Seat@5
rftools:advanced_charged_porter - 1xitem.advanced_charged_porter@0
appliedenergistics2:tools/paintballs_lumen_orange - 8xitem.appliedenergistics2.paint_ball@21
preston:compressor - 1xtile.preston.compressor@0
jaopca:block_fencesilver_k5k8wa - 3xtile.jaopca.fence@0
thermalfoundation:tool.hammer_constantan - 1xitem.thermalfoundation.tool.constantanHammer@0
nuclearcraft:item.freerunners_5 - 1xitem.FreeRunners@0
chiselsandbits:chisel_gold - 1xitem.mod.chiselsandbits.chisel_gold@0
randomthings:escaperope - 1xitem.escapeRope@0
vanillatools:tool.shield_iron - 1xitem.vanillaplus.tool.ironShield@0
xnet:netcable_routing - 32xtile.xnet.netcable@4
ironchest:shulker/cyan/crystal/diamond_crystal_shulker_box - 1xtile.IronShulkerBoxcyan@5
magneticraft:nuggets_zinc - 9xitem.magneticraft.nuggets@14
xtones:xtone/lair - 8xtile.xtones.lair@0
mekanism:plasticblock_8 - 4xtile.PlasticBlock@8
thaumadditions:spiritus_crystal_block - 1xtile.thaumadditions:crystal_block@0
mekanism:plasticblock_7 - 4xtile.PlasticBlock@7
xreliquary:charging/redstone_block - 1xitem.alkahestry_tome@992
mekanism:plasticblock_6 - 4xtile.PlasticBlock@6
mekanism:plasticblock_5 - 4xtile.PlasticBlock@5
extratrees:rosewood_fence_gates - 1xtile.fence.gates.rosewood@0
mekanism:plasticblock_9 - 4xtile.PlasticBlock@9
mekanism:balloon_2 - 2xitem.Balloon@2
thaumicbases:thauminite_plate - 1xitem.thauminite_plate@0
mekanism:balloon_1 - 2xitem.Balloon@1
mekanism:balloon_0 - 2xitem.Balloon@0
nuclearcraft:tile.nuclearcraft.cobblestone_generator_compact - 1xtile.nuclearcraft.cobblestone_generator_compact@0
techreborn:snowball - 16xitem.snowball@0
stevescarts:module/hight_controller - 1xitem.SC2:unknownmodule@19
nuclearcraft:item.actuallyadditions.item_boots_crystal_red - 1xitem.actuallyadditions.item_boots_crystal_red@0
bibliocraft:jungle_paintingframesimple - 1xtile.BiblioCraft:PaintingFrameSimple@3
bloodarsenal:slate_blank - 9xitem.bloodmagic.slate@0
jaopca:ingotcyanite_c9uuqe - 4xitem.bigreactors:ingotcyanite@0
thaumicrestoration:block_greatwood - 1xtile.block_greatwood@0
forestry:fences_teak - 3xtile.for.fences.0@1
psi:cad_assembly_1 - 1xitem.cad_assembly@1
xreliquary:blocks/pedestal_passive/pedestal_passive_green - 1xtile.pedestal_passive@13
psi:cad_assembly_2 - 1xitem.cad_assembly@2
industrialforegoing:mob_relocator_thermal - 1xtile.industrialforegoing.mob_relocator@0
psi:cad_assembly_3 - 1xitem.cad_assembly@3
psi:cad_assembly_4 - 1xitem.cad_assembly@4
deepmoblearning:data_model/data_model_enderman - 1xitem.deepmoblearning.data_model_enderman@0
botany:weedkiller_moisturedamp_ph1_typeflowerbed - 1xbotany.soil.flowerbed@5
botania:wands/twigwand_silver_yellow - 1xitem.twigWand@0
nuclearcraft:item.naturalpledge:sunmaker_legs - 1xitem.sunmaker_legs@0
minecraft:golden_pickaxe - 1xitem.pickaxeGold@0
xreliquary:items/mob_charm_fragments/cave_spider - 1xitem.mob_charm_fragment@6
immersivepetroleum:metal_decoration/auto_lubricator - 1xtile.immersivepetroleum.metal_device@0
industrialforegoing:mob_slaughter_factory_enderio - 1xtile.industrialforegoing.mob_slaughter_factory@0
randomthings:diviningrod_ardite - 1xitem.diviningRod@19
botania:ancient_will_attach - 2xtile.air@15
mysticalworld:copper_axe - 1xitem.copper_axe@0
jaopca:block_fencealumite_hyz37i - 3xtile.jaopca.fence@0
botania:wands/twigwand_red_purple - 1xitem.twigWand@0
roots:runestone_button - 1xtile.runestone_button@0
avaritia:blocks/crafting/un_compressed_crafting_table - 9xtile.workbench@0
minecraft:redstone_torch - 1xtile.notGate@0
techreborn:ingot_82 - 8xitem.techreborn.ingot@21
nuclearcraft:item.itemcape - 1xitem.itemcape@0
immersiveengineering:sheetmetal/electrum_sheetmetal_slab_back - 1xtile.immersiveengineering.sheetmetal@7
nuclearcraft:tile.nuclearcraft.helium_collector_compact - 1xtile.nuclearcraft.helium_collector_compact@0
nuclearcraft:item.simplyjetpacks.jetpack_eio3_armored - 1xitem.simplyjetpacks.itemJetpack@7
thaumcraft:thaumiumsword - 1xitem.thaumium_sword@0
nuclearcraft:item.sylvan_leggings - 1xitem.sylvan_leggings@0
randomthings:positionfilter - 1xitem.positionFilter@0
cyclicmagic:item.minecartchest_1 - 1xitem.minecartChest@0
bibliocraft:green_swordpedestal - 1xtile.BiblioCraft:SwordPedestal@13
minecraft:gray_bed - 1xitem.bed@7
computercraft:generated/turtle_normal/computercraft_wireless_modem - 1xtile.computercraft:turtle@0
extratrees:locust_fireproof_slabs - 6xtile.slabs.fireproof.2@7
nuclearcraft:tile.nuclearcraft.heat_exchanger_wall_1 - 1xtile.nuclearcraft.heat_exchanger_wall@0
tp:compressed_4_cane - 1xtile.quadruple_compressed_sugar_cane@0
extratrees:gingko_fireproof_slabs - 6xtile.slabs.fireproof.3@7
bewitchment:juniper_pressure_plate - 1xtile.bewitchment.juniper_pressure_plate@0
techreborn:ender_pearl - 1xitem.enderPearl@0
forestry:fireproof_stairs_wenge - 4xtile.for.stairs.fireproof.wenge@0
minecraft:armor_stand - 1xitem.armorStand@0
enderutilities:inserter_filtered - 1xtile.null@1
jaopca:item_mysticalseedszircaloy_31hinl - 1xitem.jaopca.mysticalSeeds@0
techreborn:ingot_79 - 8xitem.techreborn.ingot@21
enderio:glider_wing - 1xitem.item_material@6
jaopca:block_wallprismarine_18rgm5 - 12xtile.jaopca.wall@0
minecraft:pink_stained_glass_pane - 16xtile.thinStainedGlass@6
tconstruct:tools/forge/blockcrystallinepinkslime - 1xtile.tconstruct.toolforge@0
bewitchment:nether_brick_leonard_idol - 1xitem.bewitchment.nether_brick_leonard_idol@0
mekanism:balloon_6 - 2xitem.Balloon@6
mekanism:balloon_5 - 2xitem.Balloon@5
mekanism:balloon_4 - 2xitem.Balloon@4
ironchest:shulker/cyan/diamond/gold_diamond_shulker_box - 1xtile.IronShulkerBoxcyan@2
jaopca:block_stairssodalite_210wyq - 8xtile.jaopca.stairs@0
mekanism:balloon_3 - 2xitem.Balloon@3
techreborn:ingot_81 - 8xitem.techreborn.ingot@21
nuclearcraft:item.osmiumhelmet - 1xitem.OsmiumHelmet@0
mekanism:balloon_9 - 2xitem.Balloon@9
thaumcraft:grapplegun - 1xitem.grapple_gun@0
techreborn:ingot_80 - 8xitem.techreborn.ingot@21
mekanism:balloon_8 - 2xitem.Balloon@8
mekanism:balloon_7 - 2xitem.Balloon@7
minecraft:brown_banner - 1xtile.banner@3
jaopca:block_stairsgraphite_j1ymm5 - 8xtile.jaopca.stairs@0
environmentaltech:m_multiblocks/m_nanobot/modifier_haste - 1xtile.environmentaltech.modifier_haste@0
naturalpledge:recall - 1xitem.corporea_focus@0
nuclearcraft:tile.nuclearcraft.chemical_reactor_idle - 1xtile.nuclearcraft.chemical_reactor_idle@0
nuclearcraft:item.for.naturalist_helmet - 1xitem.for.naturalist_helmet@0
jaopca:block_fencehslasteel_vru0se - 3xtile.jaopca.fence@0
tconstruct:repair - 2xtile.air@15
openscreens:flat_t3_back - 1xtile.openscreens.backflatscreen3@0
mekanismtools:lapislazuliaxe - 1xitem.LapisLazuliAxe@0
appliedenergistics2:network/blocks/quantum_ring - 1xtile.appliedenergistics2.quantum_ring@0
buildinggadgets:destructiontool - 1xitem.buildinggadgets.destructiontool@0
tp:wooden2_leggings - 1xitem.wooden_leggings@0
jaopca:item_dustsmallrhodochrosite_e2qk2b - 4xitem.jaopca.dustSmall@0
mekanism:slickplasticblock_10_alt - 4xtile.SlickPlasticBlock@10
minecraft:green_bed - 1xitem.bed@13
environmentaltech:m_resources/kyronite/tiles/slabs/tiles_slabs - 6xtile.environmentaltech.kyronite_tile_slab@0
vanillatools:tool.fishing_rod_iron - 1xitem.vanillaplus.tool.ironFishingRod@0
nuclearcraft:item.sylvan_helmet - 1xitem.sylvan_helmet@0
thaumicbases:crystalblockorder - 1xtile.crystalblockorder@0
immersiveengineering:sheetmetal/copper_sheetmetal_uncraft - 1xitem.immersiveengineering.metal@30
tconstruct:gadgets/brownstone/slab/tile_slab - 6xtile.tconstruct.brownstone_slab2@3
integrateddynamics:mechanical_squeezer - 1xtile.blocks.integrateddynamics.mechanical_squeezer@0
stevescarts:component/twig_sticks - 2xitem.stick@0
complex-logic:lamp/flat_lamp_purple - 6xtile.flat_lamp@0
magneticraft:small_tank_normal - 1xtile.magneticraft.small_tank@0
sonarcore:tile.reinforcedstoneblock81 - 4xtile.ReinforcedStoneBlock@0
nuclearcraft:item.cosmeticmaidboots - 1xitem.cosmeticmaidboots@0
mekanism:glowplasticblock_0_alt - 4xtile.GlowPlasticBlock@0
sonarcore:tile.reinforcedstoneblock80 - 1xtile.ReinforcedStoneBlock@0
industrialforegoing:animal_independence_selector_thermal - 1xtile.industrialforegoing.animal_independence_selector@0
bibliocraft:orange_dyed_lanterngold - 1xtile.BiblioCraft:LanternGold@5
industrialforegoing:laser_lens_inverted_3_recolor - 1xitem.industrialforegoing_laser_lens_inverted@3
minecraft:gray_banner - 1xtile.banner@8
thaumic_arcana:slime_infuse_alkimia - 1xitem.thaumic_arcana.infused_slime@27
immersiveengineering:treated_wood/treated_wood_slab2 - 6xtile.immersiveengineering.treated_wood_slab@2
complex-logic:lamp/cage_lamp_brown - 1xtile.cage_lamp@0
immersiveengineering:treated_wood/treated_wood_slab0 - 6xtile.immersiveengineering.treated_wood_slab@0
ironchest:shulker/lime/gold/iron_gold_shulker_box - 1xtile.IronShulkerBoxlime@1
botania:biomestonea3stairs - 4xtile.biomeStoneA3Stairs@0
immersiveengineering:treated_wood/treated_wood_slab1 - 6xtile.immersiveengineering.treated_wood_slab@1
nuclearcraft:item.immersiveengineering.faraday_suit_legs_2 - 1xitem.immersiveengineering.faraday_suit_legs@0
xreliquary:items/uncrafting/gold_nugget - 6xitem.goldNugget@0
immersiveengineering:sheetmetal/steel_sheetmetal_uncraft - 1xitem.immersiveengineering.metal@38
forestry:fireproof_fence_gates_padauk - 1xtile.for.fence.gates.fireproof.padauk@0
nuclearcraft:item.immersiveengineering.faraday_suit_legs_1 - 1xitem.immersiveengineering.faraday_suit_legs@0
botania:wands/twigwand_lightblue_green - 1xitem.twigWand@0
minecraft:rail - 16xtile.rail@0
techreborn:ingot_23 - 1xitem.techreborn.ingot@4
techreborn:ingot_21 - 1xitem.techreborn.ingot@2
nuclearcraft:item.nuclearcraft.plutonium._241_oxide - 1xitem.nuclearcraft.plutonium@9
environmentaltech:m_resources/erodium/normal/stairs/stairs - 6xtile.environmentaltech.erodium_stairs@0
