Enchants:
-<enchantment:minecraft:tb.tainted> - Tainted I (at level 1, max level 3, treasure: no, enchant id 15)
-<enchantment:cofhcore:multishot> - Multishot I (at level 1, max level 4, treasure: no, enchant id 86)
-<enchantment:cofhcore:vorpal> - Vorpal I (at level 1, max level 3, treasure: no, enchant id 90)
-<enchantment:apotheosis:hell_infusion> - Hell Infusion I (at level 1, max level 10, treasure: no, enchant id 59)
-<enchantment:minecraft:fortune> - Fortune I (at level 1, max level 3, treasure: no, enchant id 35)
-<enchantment:cyclicmagic:enchantment.lifeleech> - Life Leech I (at level 1, max level 2, treasure: no, enchant id 47)
-<enchantment:apotheosis:magic_protection> - Occult Aversion I (at level 1, max level 4, treasure: no, enchant id 78)
-<enchantment:minecraft:mending> - Mending (at level 1, max level 1, treasure: yes, enchant id 70)
-<enchantment:minecraft:knockback> - Knockback I (at level 1, max level 2, treasure: no, enchant id 19)
-<enchantment:minecraft:fire_protection> - Fire Protection I (at level 1, max level 4, treasure: no, enchant id 1)
-<enchantment:minecraft:power> - Power I (at level 1, max level 5, treasure: no, enchant id 48)
-<enchantment:woot:headhunter> - Headhunter I (at level 1, max level 3, treasure: no, enchant id 41)
-<enchantment:bibliocraft:bibliocraft.readingench> - Reading (at level 1, max level 1, treasure: no, enchant id 37)
-<enchantment:cyclicmagic:enchantment.waterwalking> - Waterwalking (at level 1, max level 1, treasure: no, enchant id 57)
-<enchantment:cyclicmagic:enchantment.reach> - Block Reach (at level 1, max level 1, treasure: no, enchant id 55)
-<enchantment:minecraft:aqua_affinity> - Aqua Affinity (at level 1, max level 1, treasure: no, enchant id 6)
-<enchantment:apotheosis:mounted_strike> - Mounted Strike I (at level 1, max level 6, treasure: no, enchant id 60)
-<enchantment:cyclicmagic:enchantment.multishot> - Multi-Shot (at level 1, max level 1, treasure: no, enchant id 53)
-<enchantment:bewitchment:magic_protection> - Magic Protection I (at level 1, max level 4, treasure: no, enchant id 30)
-<enchantment:apotheosis:berserk> - Berserker's Fury I (at level 1, max level 4, treasure: no, enchant id 73)
-<enchantment:cofhcore:smelting> - Smelting (at level 1, max level 1, treasure: no, enchant id 88)
-<enchantment:apotheosis:rebounding> - Rebounding I (at level 1, max level 3, treasure: no, enchant id 77)
-<enchantment:cyclicmagic:enchantment.beheading> - Beheading (at level 1, max level 1, treasure: no, enchant id 44)
-<enchantment:cofhcore:holding> - Holding I (at level 1, max level 4, treasure: no, enchant id 83)
-<enchantment:minecraft:vanishing_curse> - Curse of Vanishing (at level 1, max level 1, treasure: yes, enchant id 71)
-<enchantment:enderio:shimmer> - Shimmer (at level 1, max level 1, treasure: no, enchant id 29)
-<enchantment:endercore:autosmelt> - Auto-Smelt (at level 1, max level 1, treasure: no, enchant id 24)
-<enchantment:minecraft:blast_protection> - Blast Protection I (at level 1, max level 4, treasure: no, enchant id 3)
-<enchantment:minecraft:bane_of_arthropods> - Bane of Arthropods I (at level 1, max level 5, treasure: no, enchant id 18)
-<enchantment:endercore:xpboost> - XP Boost I (at level 1, max level 3, treasure: no, enchant id 23)
-<enchantment:cyclicmagic:enchantment.autosmelt> - Auto-Smelt (at level 1, max level 1, treasure: no, enchant id 43)
-<enchantment:minecraft:silk_touch> - Silk Touch (at level 1, max level 1, treasure: no, enchant id 33)
-<enchantment:minecraft:looting> - Looting I (at level 1, max level 3, treasure: no, enchant id 21)
-<enchantment:minecraft:depth_strider> - Depth Strider I (at level 1, max level 3, treasure: no, enchant id 8)
-<enchantment:randomthings:magnetic> - Magnetic (at level 1, max level 1, treasure: no, enchant id 12)
-<enchantment:minecraft:respiration> - Respiration I (at level 1, max level 3, treasure: no, enchant id 5)
-<enchantment:apotheosis:capturing> - Capturing I (at level 1, max level 5, treasure: no, enchant id 79)
-<enchantment:apotheosis:stable_footing> - Stable Footing (at level 1, max level 1, treasure: no, enchant id 64)
-<enchantment:cyclicmagic:enchantment.excavation> - Excavation I (at level 1, max level 3, treasure: no, enchant id 45)
-<enchantment:cyclicmagic:enchantment.launch> - Multi-Jump I (at level 1, max level 5, treasure: no, enchant id 46)
-<enchantment:enderzoo:witherweapon> - enchantment.witherWeapon (at level 1, max level 1, treasure: no, enchant id 92)
-<enchantment:cyclicmagic:enchantment.venom> - Venom I (at level 1, max level 2, treasure: no, enchant id 56)
-<enchantment:apotheosis:splitting> - Splitting I (at level 1, max level 5, treasure: no, enchant id 75)
-<enchantment:minecraft:infinity> - Infinity (at level 1, max level 1, treasure: no, enchant id 51)
-<enchantment:minecraft:protection> - Protection I (at level 1, max level 4, treasure: no, enchant id 0)
-<enchantment:minecraft:tb.eldritchbane> - Eldritch Bane I (at level 1, max level 5, treasure: no, enchant id 13)
