"Class","Registry name","Ticking?"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorRedstone","immersiveengineering:connectorredstone","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorStructural","immersiveengineering:connectorstructural","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConveyorBelt","immersiveengineering:conveyorbelt","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConveyorVertical","immersiveengineering:conveyorvertical","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityCrusher","immersiveengineering:crusher","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityDieselGenerator","immersiveengineering:dieselgenerator","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityDynamo","immersiveengineering:dynamo","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityElectricLantern","immersiveengineering:electriclantern","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityEnergyMeter","immersiveengineering:energymeter","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityExcavator","immersiveengineering:excavator","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFeedthrough","immersiveengineering:feedthrough","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFermenter","immersiveengineering:fermenter","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFloodlight","immersiveengineering:floodlight","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPipe","immersiveengineering:fluidpipe","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPlacer","immersiveengineering:fluidplacer","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFluidPump","immersiveengineering:fluidpump","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityFurnaceHeater","immersiveengineering:furnaceheater","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityLadder","immersiveengineering:ladder","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityLantern","immersiveengineering:lantern","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityLightningrod","immersiveengineering:lightningrod","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityMetalBarrel","immersiveengineering:metalbarrel","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityMetalPress","immersiveengineering:metalpress","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityMixer","immersiveengineering:mixer","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityRazorWire","immersiveengineering:razorwire","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityRedstoneBreaker","immersiveengineering:redstonebreaker","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityRefinery","immersiveengineering:refinery","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayHV","immersiveengineering:relayhv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayLV","immersiveengineering:relaylv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityRelayMV","immersiveengineering:relaymv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntitySampleDrill","immersiveengineering:sampledrill","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntitySheetmetalTank","immersiveengineering:sheetmetaltank","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntitySilo","immersiveengineering:silo","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntitySqueezer","immersiveengineering:squeezer","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityStructuralArm","immersiveengineering:structuralarm","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityTeslaCoil","immersiveengineering:teslacoil","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityThermoelectricGen","immersiveengineering:thermoelectricgen","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityToolbox","immersiveengineering:toolbox","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityTransformer","immersiveengineering:transformer","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityTransformerHV","immersiveengineering:transformerhv","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurret","immersiveengineering:turret","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurretChem","immersiveengineering:turretchem","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityTurretGun","immersiveengineering:turretgun","yes"
"blusunrize.immersiveengineering.common.blocks.stone.TileEntityAlloySmelter","immersiveengineering:alloysmelter","yes"
"blusunrize.immersiveengineering.common.blocks.stone.TileEntityBlastFurnace","immersiveengineering:blastfurnace","yes"
"blusunrize.immersiveengineering.common.blocks.stone.TileEntityBlastFurnaceAdvanced","immersiveengineering:blastfurnaceadvanced","yes"
"blusunrize.immersiveengineering.common.blocks.stone.TileEntityCokeOven","immersiveengineering:cokeoven","yes"
"blusunrize.immersiveengineering.common.blocks.stone.TileEntityCoresample","immersiveengineering:coresample","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityFluidSorter","immersiveengineering:fluidsorter","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityModWorkbench","immersiveengineering:modworkbench","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntitySorter","immersiveengineering:sorter","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityTurntable","immersiveengineering:turntable","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWallmount","immersiveengineering:wallmount","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWatermill","immersiveengineering:watermill","yes"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWindmill","immersiveengineering:windmill","yes"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenBarrel","immersiveengineering:woodenbarrel","yes"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenCrate","immersiveengineering:woodencrate","-"
"blusunrize.immersiveengineering.common.blocks.wooden.TileEntityWoodenPost","immersiveengineering:woodenpost","-"
"c4.conarm.common.tileentities.TileArmorForge","conarm:armorforge","-"
"c4.conarm.common.tileentities.TileArmorStation","conarm:armorstation","-"
"c4.culinaryconstruct.common.tileentity.TileEntitySandwichStation","culinaryconstruct:sandwich_station","-"
"codechicken.enderstorage.tile.TileEnderChest","minecraft:ender chest","yes"
"codechicken.enderstorage.tile.TileEnderTank","minecraft:ender tank","yes"
"cofh.thermaldynamics.duct.tiles.TileDuctEnergy$Basic","thermaldynamics:duct_energy_basic","-"
"cofh.thermaldynamics.duct.tiles.TileDuctEnergy$Hardened","thermaldynamics:duct_energy_hardened","-"
"cofh.thermaldynamics.duct.tiles.TileDuctEnergy$Reinforced","thermaldynamics:duct_energy_reinforced","-"
"cofh.thermaldynamics.duct.tiles.TileDuctEnergy$Resonant","thermaldynamics:duct_energy_resonant","-"
"cofh.thermaldynamics.duct.tiles.TileDuctEnergy$Signalum","thermaldynamics:duct_energy_signalum","-"
"cofh.thermaldynamics.duct.tiles.TileDuctEnergySuper","thermaldynamics:duct_energy_super","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Basic$Opaque","thermaldynamics:duct_fluid_fragile_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Basic$Transparent","thermaldynamics:duct_fluid_fragile_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Energy$Opaque","thermaldynamics:duct_fluid_energy_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Energy$Transparent","thermaldynamics:duct_fluid_energy_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Hardened$Opaque","thermaldynamics:duct_fluid_hardened_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Hardened$Transparent","thermaldynamics:duct_fluid_hardened_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Super$Opaque","thermaldynamics:duct_fluid_super_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctFluid$Super$Transparent","thermaldynamics:duct_fluid_super_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$Basic$Opaque","thermaldynamics:duct_item_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$Basic$Transparent","thermaldynamics:duct_item_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$Energy$Opaque","thermaldynamics:duct_item_energy_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$Energy$Transparent","thermaldynamics:duct_item_energy_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$EnergyFast$Opaque","thermaldynamics:duct_item_energy_fast_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$EnergyFast$Transparent","thermaldynamics:duct_item_energy_fast_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$Fast$Opaque","thermaldynamics:duct_item_fast_opaque","-"
"cofh.thermaldynamics.duct.tiles.TileDuctItem$Fast$Transparent","thermaldynamics:duct_item_fast_transparent","-"
"cofh.thermaldynamics.duct.tiles.TileGrid","thermaldynamics:duct","-"
"cofh.thermaldynamics.duct.tiles.TileStructuralDuct","thermaldynamics:duct_structure","-"
"cofh.thermaldynamics.duct.tiles.TileTransportDuct","thermaldynamics:duct_transport_basic","-"
"cofh.thermaldynamics.duct.tiles.TileTransportDuct$Linking","thermaldynamics:duct_transport_linking","-"
"cofh.thermaldynamics.duct.tiles.TileTransportDuct$LongRange","thermaldynamics:duct_transport_long_range","-"
"cofh.thermalexpansion.block.apparatus.TileBreaker","thermalexpansion:apparatus_breaker","yes"
"cofh.thermalexpansion.block.apparatus.TileCollector","thermalexpansion:apparatus_collector","yes"
"cofh.thermalexpansion.block.device.TileDiffuser","thermalexpansion:device_diffuser","yes"
"cofh.thermalexpansion.block.device.TileFactorizer","thermalexpansion:device_factorizer","yes"
"cofh.thermalexpansion.block.device.TileFisher","thermalexpansion:device_fisher","yes"
"cofh.thermalexpansion.block.device.TileFluidBuffer","thermalexpansion:device_fluid_buffer","yes"
"cofh.thermalexpansion.block.device.TileHeatSink","thermalexpansion:device_heat_sink","yes"
"cofh.thermalexpansion.block.device.TileItemBuffer","thermalexpansion:device_item_buffer","yes"
"cofh.thermalexpansion.block.device.TileItemCollector","thermalexpansion:device_item_collector","yes"
"cofh.thermalexpansion.block.device.TileLexicon","thermalexpansion:device_lexicon","yes"
"cofh.thermalexpansion.block.device.TileMobCatcher","thermalexpansion:device_mob_catcher","yes"
"cofh.thermalexpansion.block.device.TileNullifier","thermalexpansion:device_nullifier","-"
"cofh.thermalexpansion.block.device.TileTapper","thermalexpansion:device_tapper","yes"
"cofh.thermalexpansion.block.device.TileWaterGen","thermalexpansion:device_water_gen","yes"
"cofh.thermalexpansion.block.device.TileXpCollector","thermalexpansion:device_xp_collector","yes"
"cofh.thermalexpansion.block.dynamo.TileDynamoCompression","thermalexpansion:dynamo_compression","yes"
"cofh.thermalexpansion.block.dynamo.TileDynamoEnervation","thermalexpansion:dynamo_enervation","yes"
"cofh.thermalexpansion.block.dynamo.TileDynamoMagmatic","thermalexpansion:dynamo_magmatic","yes"
"cofh.thermalexpansion.block.dynamo.TileDynamoNumismatic","thermalexpansion:dynamo_numismatic","yes"
"cofh.thermalexpansion.block.dynamo.TileDynamoReactant","thermalexpansion:dynamo_reactant","yes"
"cofh.thermalexpansion.block.dynamo.TileDynamoSteam","thermalexpansion:dynamo_steam","yes"
"cofh.thermalexpansion.block.machine.TileBrewer","thermalexpansion:machine_brewer","yes"
"cofh.thermalexpansion.block.machine.TileCentrifuge","thermalexpansion:machine_centrifuge","yes"
"cofh.thermalexpansion.block.machine.TileCharger","thermalexpansion:machine_charger","yes"
"cofh.thermalexpansion.block.machine.TileCompactor","thermalexpansion:machine_compactor","yes"
"cofh.thermalexpansion.block.machine.TileCrafter","thermalexpansion:machine_crafter","yes"
"cofh.thermalexpansion.block.machine.TileCrucible","thermalexpansion:machine_crucible","yes"
"cofh.thermalexpansion.block.machine.TileEnchanter","thermalexpansion:machine_enchanter","yes"
"cofh.thermalexpansion.block.machine.TileExtruder","thermalexpansion:machine_extruder","yes"
"cofh.thermalexpansion.block.machine.TileFurnace","thermalexpansion:machine_furnace","yes"
"cofh.thermalexpansion.block.machine.TileInsolator","thermalexpansion:machine_insolator","yes"
"cofh.thermalexpansion.block.machine.TilePrecipitator","thermalexpansion:machine_precipitator","yes"
"cofh.thermalexpansion.block.machine.TilePulverizer","thermalexpansion:machine_pulverizer","yes"
"cofh.thermalexpansion.block.machine.TileRefinery","thermalexpansion:machine_refinery","yes"
"cofh.thermalexpansion.block.machine.TileSawmill","thermalexpansion:machine_sawmill","yes"
"cofh.thermalexpansion.block.machine.TileSmelter","thermalexpansion:machine_smelter","yes"
"cofh.thermalexpansion.block.machine.TileTransposer","thermalexpansion:machine_transposer","yes"
"cofh.thermalexpansion.block.storage.TileCache","thermalexpansion:storage_cache","-"
"cofh.thermalexpansion.block.storage.TileCell","thermalexpansion:storage_cell","yes"
"cofh.thermalexpansion.block.storage.TileStrongbox","thermalexpansion:storage_strongbox","yes"
"cofh.thermalexpansion.block.storage.TileTank","thermalexpansion:storage_tank","yes"
"com.Zoko061602.ThaumicRestoration.tile.TileAdvRechargePedestal","thaumicrestoration:tileadvrechargepedestal","yes"
"com.Zoko061602.ThaumicRestoration.tile.TileCrystal","thaumicrestoration:tilecrystal","yes"
"com.Zoko061602.ThaumicRestoration.tile.TileInfuser","thaumicrestoration:tileinfuser","yes"
"com.Zoko061602.ThaumicRestoration.tile.TileMagicWall","thaumicrestoration:tilemagicwall","yes"
"com.Zoko061602.ThaumicRestoration.tile.TileStorageUnit","thaumicrestoration:tilestorageunit","yes"
"com.ancient.thaumicgadgets.objects.machines.ageingstone.TileEntityAgeingStone","tg:ageing_stone","yes"
"com.ancient.thaumicgadgets.objects.machines.blastfurnace.TileEntityBlastFurnace","tg:blast_furnace","yes"
"com.ancient.thaumicgadgets.objects.machines.book_holder.TileEntityBookHolder","tg:book_holder","yes"
"com.ancient.thaumicgadgets.objects.machines.dechantmenttable.TileEntityDechantmentTable","tg:dechantment_table","yes"
"com.ancient.thaumicgadgets.objects.machines.extruder.TileEntityExtruder","tg:extruder","yes"
"com.ancient.thaumicgadgets.objects.machines.extruder.TileEntityExtruderUp","tg:extruder_up","yes"
"com.ancient.thaumicgadgets.objects.machines.eye.TileEntityEye","tg:eye","yes"
"com.ancient.thaumicgadgets.objects.machines.gemcutter.TileEntityGemCutter","tg:gemcutter","yes"
"com.ancient.thaumicgadgets.objects.machines.lamp.TileEntityLamp","tg:lamp","yes"
"com.ancient.thaumicgadgets.objects.machines.spinningwheel.TileEntitySpinningWheel","tg:spinning_wheel","yes"
"com.ancient.thaumicgadgets.objects.machines.spire.TileEntitySpire","tg:sphere","yes"
"com.ancient.thaumicgadgets.objects.machines.stab_2.TileEntityStab2","tg:stab2","yes"
"com.ancient.thaumicgadgets.objects.machines.teleportator.TileEntityTeleportator","tg:teleportator","yes"
"com.ancient.thaumicgadgets.objects.machines.terramorfer.TileEntityTerramorfer","tg:terramorfer","yes"
"com.aranaira.arcanearchives.tileentities.BrazierTileEntity","arcanearchives:brazier","yes"
"com.aranaira.arcanearchives.tileentities.FakeAirTileEntity","arcanearchives:fake_air","yes"
"com.aranaira.arcanearchives.tileentities.GemCuttersTableTileEntity","arcanearchives:gemcutterstable","yes"
"com.aranaira.arcanearchives.tileentities.MonitoringCrystalTileEntity","arcanearchives:monitoring_crystal_tile_entity","yes"
"com.aranaira.arcanearchives.tileentities.RadiantChestTileEntity","arcanearchives:radiantchest","yes"
"com.aranaira.arcanearchives.tileentities.RadiantCraftingTableTileEntity","arcanearchives:radiantcraftingtable","yes"
"com.aranaira.arcanearchives.tileentities.RadiantResonatorTileEntity","arcanearchives:radiant_resonator_tile_entity","yes"
"com.aranaira.arcanearchives.tileentities.RadiantTankTileEntity","arcanearchives:radianttank","yes"
"com.aranaira.arcanearchives.tileentities.RadiantTroveTileEntity","arcanearchives:radianttrove","yes"
"com.bewitchment.common.block.tile.entity.TileEntityCrystalBall","bewitchment:crystal_ball","-"
"com.bewitchment.common.block.tile.entity.TileEntityDistillery","bewitchment:distillery","yes"
"com.bewitchment.common.block.tile.entity.TileEntityFrostfire","bewitchment:frostfire","yes"
"com.bewitchment.common.block.tile.entity.TileEntityGlyph","bewitchment:glyph","yes"
"com.bewitchment.common.block.tile.entity.TileEntityIdol","bewitchment:idol","-"
"com.bewitchment.common.block.tile.entity.TileEntityJuniperChest","bewitchment:juniper_chest","yes"
"com.bewitchment.common.block.tile.entity.TileEntityPlacedItem","bewitchment:placed_item","-"
"com.bewitchment.common.block.tile.entity.TileEntitySpinningWheel","bewitchment:spinning_wheel","yes"
"com.bewitchment.common.block.tile.entity.TileEntityTarotTable","bewitchment:tarot_table","-"
"com.bewitchment.common.block.tile.entity.TileEntityWitchesAltar","bewitchment:stone_witches_altar","yes"
"com.bewitchment.common.block.tile.entity.TileEntityWitchesCauldron","bewitchment:witches_cauldron","yes"
"com.bewitchment.common.block.tile.entity.TileEntityWitchesOven","bewitchment:witches_oven","yes"
"com.blakebr0.extendedcrafting.tile.TileAdvancedCraftingTable","minecraft:ec_advanced_table","-"
"com.blakebr0.extendedcrafting.tile.TileAutomationInterface","minecraft:ec_automation_interface","yes"
"com.blakebr0.extendedcrafting.tile.TileBasicCraftingTable","minecraft:ec_basic_table","-"
"com.blakebr0.extendedcrafting.tile.TileCompressor","minecraft:ec_compressor","yes"
"com.blakebr0.extendedcrafting.tile.TileCraftingCore","minecraft:ec_crafting_core","yes"
"com.blakebr0.extendedcrafting.tile.TileEliteCraftingTable","minecraft:ec_elite_table","-"
"com.blakebr0.extendedcrafting.tile.TileEnderCrafter","minecraft:extendedcraftingender_crafter","yes"
"com.blakebr0.extendedcrafting.tile.TilePedestal","minecraft:ec_pedestal","-"
"com.blakebr0.extendedcrafting.tile.TileUltimateCraftingTable","minecraft:ec_ultimate_table","-"
"com.blakebr0.mysticalagriculture.tileentity.TileEntitySeedReprocessor","minecraft:ma_seed_reprocessor","yes"
"com.blakebr0.mysticalagriculture.tileentity.TileEntityTinkeringTable","minecraft:ma.tinkering_table","-"
"com.blakebr0.mysticalagriculture.tileentity.furnace.TileInferiumFurnace","minecraft:ma_inferium_furnace","yes"
"com.blakebr0.mysticalagriculture.tileentity.furnace.TileIntermediumFurnace","minecraft:ma_intermedium_furnace","yes"
"com.blakebr0.mysticalagriculture.tileentity.furnace.TilePrudentiumFurnace","minecraft:ma_prudentium_furnace","yes"
"com.blakebr0.mysticalagriculture.tileentity.furnace.TileSuperiumFurnace","minecraft:ma_superium_furnace","yes"
"com.blakebr0.mysticalagriculture.tileentity.furnace.TileSupremiumFurnace","minecraft:ma_supremium_furnace","yes"
"com.blakebr0.mysticalagriculture.tileentity.furnace.TileUltimateFurnace","minecraft:ma_ultimate_furnace","yes"
"com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileInferiumReprocessor","mysticalagriculture:inferium_reprocessor","yes"
"com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileIntermediumReprocessor","mysticalagriculture:intermedium_reprocessor","yes"
"com.blakebr0.mysticalagriculture.tileentity.reprocessor.TilePrudentiumReprocessor","mysticalagriculture:prudentium_reprocessor","yes"
"com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileSuperiumReprocessor","mysticalagriculture:superium_reprocessor","yes"
"com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileSupremiumReprocessor","mysticalagriculture:supremium_reprocessor","yes"
