"ID","Name","Description","Parent"
"botania:challenge/l20_shard_use","[Out of Step]","Raise the ground up to the sky with a Power XX Shard of Laputa","botania:challenge/root"
"botania:challenge/loki_ring","[Arithmetic]","Be rewarded the Ring of Loki for a heroic feat","botania:challenge/root"
"botania:challenge/null_flower","[Take it Easy]","Find a bug that lets you have an undefined Botania Flower. Don't forget to report it!","botania:challenge/root"
"botania:challenge/odin_ring","[Lost Time Memory]","Be rewarded the Ring of Odin for a heroic feat","botania:challenge/root"
"botania:challenge/pinkinator","[Decorator]","Put to use The Pinkinator","botania:challenge/root"
"botania:challenge/rank_ss_pick","[A Tale of Six Trillion Years and a Night]","Dig through the world using a rank SS Terra Shatterer","botania:challenge/root"
"botania:challenge/root","[Botania Challenges]","Challenges for the advanced botanist","-"
"botania:challenge/super_corporea_request","[Invader Girl]","Successfully request 50,000 or more of a single item in a Corporea Index","botania:challenge/root"
"botania:challenge/thor_ring","[One Step Layered]","Be rewarded the Ring of Thor for a heroic feat","botania:challenge/root"
"botania:main/bauble_wear","[Inner Arts]","Craft any variety of Bauble and wear it","botania:main/mana_pool_pickup"
"botania:main/brew_pickup","[Childhood Blues]","Craft a Botanical Brewery and use it to create a Brew of any kind","botania:main/rune_pickup"
"botania:main/bubbell_pickup","[Deep Sea Girl]","Create a Bubbell to allow for underwater base creation","botania:main/elf_portal_open"
"botania:main/cacophonium_craft","[Noisy Lover Soul]","Craft a Cacophonium to mildly infuriate your foes","botania:main/root"
"botania:main/corporea_craft","[Packet Hero]","Craft a block that makes use of the Corporea Network","botania:main/ender_air_make"
"botania:main/crafting_halo_craft","[Segments Blue]","Craft an Assembly Halo to facilitate crafting","botania:main/mana_pool_pickup"
"botania:main/dandelifeon_pickup","[Donut Hole]","Create a Dandelifeon and challenge your mind with it","botania:main/gaia_guardian_kill"
"botania:main/dirt_rod_craft","[Rockbell]","Craft a dirty sti- er... Rod of the Lands","botania:main/rune_pickup"
"botania:main/elf_portal_open","[World Calling]","Open a portal to the realm of Alfheim","botania:main/terrasteel_pickup"
"botania:main/enchanter_make","[Odds and Ends]","Create a Mana Enchanter in order to have better control over enchanting","botania:main/mana_pool_pickup"
"botania:main/ender_air_make","[Imitation Air]","Collect a Bottle of Ender Air","botania:main/elf_portal_open"
"botania:main/flower_pickup","[Sky of Beginning]","Pick up a Mystical Flower from the world","botania:main/root"
"botania:main/functional_flower","[An Ecstatic Vivace]","Make a functional flower in a Petal Apothecary","botania:main/mana_pool_pickup"
"botania:main/gaia_guardian_kill","[Dead and Seek]","Summon and slay a Gaia Guardian for a Ritual of Gaia","botania:main/elf_portal_open"
"botania:main/generating_flower","[Electric Magic]","Make a generating flower in a Petal Apothecary","botania:main/lexicon_use"
"botania:main/heisei_dream_pickup","[Heisei Cataclysm]","Create a Heisei Dream to cause havoc on mobs","botania:main/elf_portal_open"
"botania:main/kekimurus_pickup","[After-School Stride]","Create a Kekimurus to help produce large quantities of Mana","botania:main/elf_portal_open"
"botania:main/lexicon_use","[A Realistical Logical Ideologist]","Open a Lexica Botania and have a look through the _index","botania:main/root"
"botania:main/luminizer_ride","[World's End Dancehall]","Craft some Luminizers and use them for transport","botania:main/ender_air_make"
"botania:main/mana_blaster_shoot","[M'aider Stranded Girl]","Craft and fire a Mana Blaster","botania:main/rune_pickup"
"botania:main/mana_bomb_ignite","[Under of Fragments]","Craft a Manastorm Charge, ignite it on a far away place","botania:main/gaia_guardian_kill"
"botania:main/mana_cart_craft","[World Domination How-To]","Create a Minecart with Mana Pool for long range mana transport","botania:main/mana_pool_pickup"
"botania:main/mana_cookie_eat","[Rotten Heresy and Chocolate]","Infuse and eat a delicious Biscuit of Totality","botania:main/mana_pool_pickup"
"botania:main/mana_pool_pickup","[Vivid Wave]","Craft a Mana Pool to store Mana","botania:main/generating_flower"
"botania:main/manaweave_armor_craft","[Imagination Forest]","Create Manaweave Armor to power up your Rods","botania:main/mana_pool_pickup"
"botania:main/pollidisiac_pickup","[Romeo and Cinderella]","Create a Pollidisiac, get love in the air","botania:main/rune_pickup"
"botania:main/root","[Botania]","Botania description here.","-"
"botania:main/rune_pickup","[Drop Pop Candy]","Use a Runic Altar to create a Rune","botania:main/mana_pool_pickup"
"botania:main/spark_craft","[Live Drive]","Make a Spark to help transfer Mana around","botania:main/mana_pool_pickup"
"botania:main/spawner_mover_use","[I can take off my (redacted)]","Use a Life Aggregator to transport a Monster Spawner","botania:main/gaia_guardian_kill"
"botania:main/terrasteel_pickup","[Dancer in the Dark]","Conjure a Terrasteel Ingot using a Terrestrial Agglomeration Plate","botania:main/rune_pickup"
"botania:main/terrasteel_weapon_craft","[Remote Paranoia]","Arm yourself with a weapon made of Terrasteel","botania:main/terrasteel_pickup"
"botania:main/tiara_wings","[Heart Shooter]","Craft and adorn a Flügel Tiara with Flügel Wings","botania:main/gaia_guardian_kill"
"botania:main/tiny_potato_pet","[Just Be Friends]","Make a Tiny Potato and pet it","botania:main/mana_pool_pickup"
"botania_tweaks:octuple_potato","[Simply Love]","Place the Galactic Potato, an artifact of tremendous power","botania:main/tiny_potato_pet"
"computercraft:recipes/advanced_computer","computercraft:recipes/advanced_computer","<null>","minecraft:recipes/root"
"computercraft:recipes/advanced_monitor","computercraft:recipes/advanced_monitor","<null>","minecraft:recipes/root"
"computercraft:recipes/advanced_pocket_computer","computercraft:recipes/advanced_pocket_computer","<null>","minecraft:recipes/root"
"computercraft:recipes/advanced_turtle","computercraft:recipes/advanced_turtle","<null>","minecraft:recipes/root"
"computercraft:recipes/cable","computercraft:recipes/cable","<null>","minecraft:recipes/root"
"computercraft:recipes/command_computer","computercraft:recipes/command_computer","<null>","minecraft:recipes/root"
"computercraft:recipes/disk_drive","computercraft:recipes/disk_drive","<null>","minecraft:recipes/root"
"computercraft:recipes/ender_modem","computercraft:recipes/ender_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/disk","computercraft:recipes/generated/disk","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/pocket_advanced/computercraft_advanced_modem","computercraft:recipes/generated/pocket_advanced/computercraft_advanced_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/pocket_advanced/computercraft_speaker","computercraft:recipes/generated/pocket_advanced/computercraft_speaker","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/pocket_advanced/computercraft_wireless_modem","computercraft:recipes/generated/pocket_advanced/computercraft_wireless_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/pocket_normal/computercraft_advanced_modem","computercraft:recipes/generated/pocket_normal/computercraft_advanced_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/pocket_normal/computercraft_speaker","computercraft:recipes/generated/pocket_normal/computercraft_speaker","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/pocket_normal/computercraft_wireless_modem","computercraft:recipes/generated/pocket_normal/computercraft_wireless_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/computercraft_advanced_modem","computercraft:recipes/generated/turtle_advanced/computercraft_advanced_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/computercraft_speaker","computercraft:recipes/generated/turtle_advanced/computercraft_speaker","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/computercraft_wireless_modem","computercraft:recipes/generated/turtle_advanced/computercraft_wireless_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/minecraft_crafting_table","computercraft:recipes/generated/turtle_advanced/minecraft_crafting_table","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/minecraft_diamond_axe","computercraft:recipes/generated/turtle_advanced/minecraft_diamond_axe","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/minecraft_diamond_hoe","computercraft:recipes/generated/turtle_advanced/minecraft_diamond_hoe","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/minecraft_diamond_pickaxe","computercraft:recipes/generated/turtle_advanced/minecraft_diamond_pickaxe","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/minecraft_diamond_shovel","computercraft:recipes/generated/turtle_advanced/minecraft_diamond_shovel","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_advanced/minecraft_diamond_sword","computercraft:recipes/generated/turtle_advanced/minecraft_diamond_sword","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/computercraft_advanced_modem","computercraft:recipes/generated/turtle_normal/computercraft_advanced_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/computercraft_speaker","computercraft:recipes/generated/turtle_normal/computercraft_speaker","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/computercraft_wireless_modem","computercraft:recipes/generated/turtle_normal/computercraft_wireless_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/minecraft_crafting_table","computercraft:recipes/generated/turtle_normal/minecraft_crafting_table","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/minecraft_diamond_axe","computercraft:recipes/generated/turtle_normal/minecraft_diamond_axe","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/minecraft_diamond_hoe","computercraft:recipes/generated/turtle_normal/minecraft_diamond_hoe","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/minecraft_diamond_pickaxe","computercraft:recipes/generated/turtle_normal/minecraft_diamond_pickaxe","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/minecraft_diamond_shovel","computercraft:recipes/generated/turtle_normal/minecraft_diamond_shovel","<null>","minecraft:recipes/root"
"computercraft:recipes/generated/turtle_normal/minecraft_diamond_sword","computercraft:recipes/generated/turtle_normal/minecraft_diamond_sword","<null>","minecraft:recipes/root"
"computercraft:recipes/normal_computer","computercraft:recipes/normal_computer","<null>","minecraft:recipes/root"
"computercraft:recipes/normal_monitor","computercraft:recipes/normal_monitor","<null>","minecraft:recipes/root"
"computercraft:recipes/normal_pocket_computer","computercraft:recipes/normal_pocket_computer","<null>","minecraft:recipes/root"
"computercraft:recipes/normal_turtle","computercraft:recipes/normal_turtle","<null>","minecraft:recipes/root"
"computercraft:recipes/printed_book","computercraft:recipes/printed_book","<null>","minecraft:recipes/root"
"computercraft:recipes/printed_pages","computercraft:recipes/printed_pages","<null>","minecraft:recipes/root"
"computercraft:recipes/printer","computercraft:recipes/printer","<null>","minecraft:recipes/root"
"computercraft:recipes/printout","computercraft:recipes/printout","<null>","minecraft:recipes/root"
"computercraft:recipes/skull_cloudy","computercraft:recipes/skull_cloudy","<null>","minecraft:recipes/root"
"computercraft:recipes/skull_dan200","computercraft:recipes/skull_dan200","<null>","minecraft:recipes/root"
"computercraft:recipes/speaker","computercraft:recipes/speaker","<null>","minecraft:recipes/root"
"computercraft:recipes/wired_modem","computercraft:recipes/wired_modem","<null>","minecraft:recipes/root"
"computercraft:recipes/wireless_modem","computercraft:recipes/wireless_modem","<null>","minecraft:recipes/root"
"culinaryconstruct:craft_food","[Sandwich Lover]","Craft a sandwich","minecraft:husbandry/plant_seed"
"enderio:gears/g1_wooden_gear","[Arboreally Mechanical]","Craft a Wooden Gear","enderio:root"
"enderio:gears/g2_stone_gear","[Geologically Mechanical]","Craft a Stone Gear","enderio:gears/g1_wooden_gear"
"enderio:gears/g3_iron_gear","[Ferrously Mechanical]","Craft an Iron Gear","enderio:gears/g2_stone_gear"
"enderio:gears/g4_energized_gear","[Luminously Mechanical]","Craft an Energized Bimetal Gear","enderio:gears/g3_iron_gear"
"enderio:gears/g5_vibrant_gear","[Mystically Mechanical]","Craft a Vibrant Bimetal Gear","enderio:gears/g4_energized_gear"
"enderio:root","[Ender IO Basics]","A step closer to infinity","-"
"enderio:start/1_infinity_powder_get","[Collect the Infinite]","Light Bedrock on fire and get a reward","enderio:root"
"enderio:start/2_simple_chassis_get","[The Third 'S' is Silent]","Make your first Machine Chassis","enderio:start/1_infinity_powder_get"
"enderioconduits:energy/1_energy_conduit","[Basic Energy]","Craft some Energy Conduits","enderioconduits:start/2_conduit_binder"
"enderioconduits:energy/2_energy_conduit_enhanced","[Enhanced Energy]","Craft some Enhanced Energy Conduits","enderioconduits:energy/1_energy_conduit"
"enderioconduits:energy/3_energy_conduit_ender","[Ender Energy]","Craft some Ender Energy Conduits","enderioconduits:energy/2_energy_conduit_enhanced"
"enderioconduits:fluid/1_fluid_conduit","[Basic Fluid]","Craft some Fluid Conduits","enderioconduits:start/2_conduit_binder"
"enderioconduits:fluid/2_fluid_conduit_pressurized","[Under Pressure]","Craft some Pressurized Fluid Conduits","enderioconduits:fluid/1_fluid_conduit"
"enderioconduits:fluid/3_fluid_conduit_ender","[Instant Fluids, Just Add Ender]","Craft some Ender Fluid Conduits","enderioconduits:fluid/2_fluid_conduit_pressurized"
"enderioconduits:goals/all_conduits","[Jack of All Trades]","Craft all of the core conduit types","enderioconduits:start/2_conduit_binder"
"enderioconduits:goals/all_filters","[Getting Specific]","Craft all of the core filter types","enderioconduits:item/1_item_conduit"
"enderioconduits:item/1_item_conduit","[Item Transfer]","Craft some Item Conduits","enderioconduits:start/2_conduit_binder"
"enderioconduits:item/2_basic_filter","[Filtering For Dummies]","Craft a Basic Item Filter","enderioconduits:item/1_item_conduit"
"enderioconduits:item/3_advanced_filter","[Maximum Control]","Craft an Advanced Item Filter","enderioconduits:item/2_basic_filter"
"enderioconduits:item/3_big_filter","[Maximum Size]","Craft a Big Item Filter","enderioconduits:item/2_basic_filter"
"enderioconduits:item/4_big_advanced_filter","[One Filter to Rule Them All]","Craft a Big Advanced Item Filter","enderioconduits:item/3_advanced_filter"
"enderioconduits:redstone/1_redstone_conduit","[Redstone Transfer]","Craft some Redstone Conduits","enderioconduits:start/2_conduit_binder"
"enderioconduits:root","[Ender IO Conduits]","How many pipes in one block?","-"
"enderioconduits:start/1_binder_composite","[I Am Not Grout!]","Craft some Binder Composite","enderioconduits:root"
"enderioconduits:start/2_conduit_binder","[Universal Binder]","Smelt some Conduit Binder","enderioconduits:start/1_binder_composite"
"enderiomachines:basics/alloy/1_alloy_smelter_get","[Alloys and Enemies]","Craft a Simple Alloy Smelter","enderio:start/2_simple_chassis_get"
"enderiomachines:basics/alloy/2_energetic_alloy_get","[Energized Metal]","Combine gold, redstone, and glowstone","enderiomachines:basics/alloy/1_alloy_smelter_get"
"enderiomachines:basics/alloy/machine_chassis_get","[The Culmination]","Craft a Machine Chassis","enderiomachines:basics/sagmill/a_powder_coating"
"enderiomachines:basics/goal/1_all_simple_get","[Start at the Beginning]","Craft all simple machines","enderio:start/2_simple_chassis_get"
"enderiomachines:basics/sagmill/1_sagmill_get","[Semi-Autogenous Grinding]","Craft a simple SAG Mill","enderio:start/2_simple_chassis_get"
"enderiomachines:basics/sagmill/2_sagmill_flowers","[Destroy Something Beautiful]","Grind down some plant matter","enderiomachines:basics/sagmill/1_sagmill_get"
"enderiomachines:basics/sagmill/3_sagmill_bushes","[Useful in Death]","Grind down a dead bush","enderiomachines:basics/sagmill/2_sagmill_flowers"
"enderiomachines:basics/sagmill/4_brown","[Who Needs Jungles?]","Combine some twigs and organic matter into dye","enderiomachines:basics/sagmill/3_sagmill_bushes"
"enderiomachines:basics/sagmill/5_green","[Caution: Do Not Eat]","Combine some plant matter and animal products into dye","enderiomachines:basics/sagmill/2_sagmill_flowers"
"enderiomachines:basics/sagmill/6_coal","[Chewing Dead Wood]","Grind down some coal","enderiomachines:basics/sagmill/1_sagmill_get"
"enderiomachines:basics/sagmill/7_black","[Who Needs Squid?]","Combine some coal dust and animal products into dye","enderiomachines:basics/sagmill/6_coal"
"enderiomachines:basics/sagmill/8_blue","[Bejeweled]","Grind down some Lapis Lazuli","enderiomachines:basics/sagmill/1_sagmill_get"
"enderiomachines:basics/sagmill/9_white","[Bejeweled 2]","Grind down some Quartz","enderiomachines:basics/sagmill/8_blue"
"enderiomachines:basics/sagmill/a_powder_coating","[Classic Color]","Craft some Organic Machine Powder Coating","enderiomachines:basics/sagmill/9_white"
"enderiomachines:basics/stirling/1_stirling_generator_get","[Harness the Heat]","Craft a Simple Stirling Generator","enderio:start/2_simple_chassis_get"
"enderiomachines:root","[Ender IO Machines]","Begin your automation adventure","-"
"extrabotany:main/achilleshieldcraft","[Mr.Wonder]","Obtain Achilled Shield","extrabotany:main/gaiadefeat"
"extrabotany:main/allstats","[Erase or Zero]","Unlock All ExtraBotany's Advancements","extrabotany:main/nightmarefueleating"
"extrabotany:main/annoyingdogsummon","[April Fool]","The Dog absorbs the artifact","extrabotany:main/kinggardencraft"
"extrabotany:main/armorsetcombat","[Drug Of Gold]","Equip Pleiades Combat Maid Armor Set","extrabotany:main/newknowledgeunlock"
"extrabotany:main/armorsetcos","[cat's dance]","Equip Starry Idol Armor Set","extrabotany:main/newknowledgeunlock"
"extrabotany:main/armorsetgs","[Befall]","Equip Goblin Slayer Armor Set","extrabotany:main/newknowledgeunlock"
"extrabotany:main/armorsetsw","[Crazy ? nighT]","Equip Shadow Warrior Armor Set at night","extrabotany:main/newknowledgeunlock"
"extrabotany:main/bloodyenchantressuse","[Sweet Devil]","Use a Bloody Enchantress to generate mana","extrabotany:main/newknowledgeunlock"
"extrabotany:main/bottleset","[Inside Out]","Collect all kinds of bottles.","extrabotany:main/newknowledgeunlock"
"extrabotany:main/buddhistrelics","[SPiCa]","Obtain Origin Creation - Omniscience","extrabotany:main/gaiadefeat"
"extrabotany:main/cameracraft","[lukaluka night fever]","Craft a Shameimaru's Camera","extrabotany:main/gaiadefeat"
"extrabotany:main/coregodcraft","[All Hail The Queen]","Obtain Core of God.","extrabotany:main/gaiadefeat"
"extrabotany:main/endgamegoal","[End Day]","Challenge the final task — Defeat Herrscher of The Void in 3 minutes!","extrabotany:main/herrscherdefeat"
"extrabotany:main/excalibercraft","[ReAct]","Obtain Excaliber","extrabotany:main/gaiadefeat"
"extrabotany:main/failnaughtcraft","[from Y to Y]","Craft the Failnaught","extrabotany:main/gaiadefeat"
"extrabotany:main/fragmentforge","[Gears of Love]","Forge one item on the Livingrock Pedestal","extrabotany:main/pedestalcraft"
"extrabotany:main/gaiadefeat","[KiLLER LADY]","Defeat Gaia Guardian III","extrabotany:main/natureorbcraft"
"extrabotany:main/herrscherdefeat","[Salvation]","Defeat Herrscher of The Void","extrabotany:main/gaiadefeat"
"extrabotany:main/infinitewinecraft","[shake it]","Obtain Infinite Wine","extrabotany:main/gaiadefeat"
"extrabotany:main/jingweifeatherget","[Half Elf, Half Human]","Complete 18 extrabotany's advancement and you will be awarded Feather of Jingwei","extrabotany:main/magicfingerget"
"extrabotany:main/kinggardencraft","[Last Night, Good Night]","Craft a Garden of King's Law","extrabotany:main/pedestalcraft"
"extrabotany:main/landmineactive","[WORLD'S END UMBRELLA]","Take damage from a red landmine","extrabotany:main/natureorbcraft"
"extrabotany:main/luckydraw","[Starduster]","Obtain Super Rare Item through Reward Bag","extrabotany:main/natureorbcraft"
"extrabotany:main/magicfingerget","[Multiple Happiness]","Complete 12 extrabotany's advancement and you will be awarded Magic Finger","extrabotany:main/manadriverget"
"extrabotany:main/manabuffercraft","[????????]","Craft a Mana Buffer","extrabotany:main/newknowledgeunlock"
"extrabotany:main/manadriverget","[A Green Hand]","Complete 6 extrabotany's advancement and you will be awarded Ring of Mana Drive.","extrabotany:main/nightmarefueleating"
