"Index","Name","Translated Name","Icon Item"
169,"redstonearsenal.creativeTab","Redstone Arsenal","[redstonearsenal:tool.sword_flux@0 - 'Flux-Infused Sword']"
170,"redstonerepository.creativeTab","Redstone Repository",""
171,"NotEnoughWands","Not Enough Wands","[notenoughwands:teleportation_wand@0 - 'Teleportation Wand']"
172,"XNet","XNet","[minecraft:anvil@0 - 'Anvil']"
173,"plethora","Plethora","[plethora:neuralinterface@0 - 'Neural interface']"
174,"psipherals","Psionic Peripherals","[psipherals:psimetal_bow@0 - 'Psimetal Bow']"
175,"rt.name","Random Things","[randomthings:magichood@0 - 'Magic Hood']"
176,"spawnEggs","Spawn Eggs","[minecraft:spawn_egg@0 - 'Spawn Chicken']"
177,"RFToolsControl","RFTools Control","[rftoolscontrol:rftoolscontrol_manual@0 - 'RFTools Control Manual']"
178,"RFToolsPower","RFTools Power","[rftoolspower:cell1@0 - 'Powercell (Low)']"
179,"soot","Soot","[embers:dust_ash@0 - 'Ash Pile']"
180,"thaumcraft","Thaumcraft","[thaumcraft:goggles@0 - 'Goggles of Revealing']"
181,"thaumadditions","Thaumic Additions: Reconstructed","[thaumadditions:seal_globe@0 - 'Seal Globe']"
182,"Thaumic Bases Blocks","Thaumic Bases Blocks","[minecraft:crafting_table@0 - 'Crafting Table']"
183,"Thaumic Bases Items","Thaumic Bases Items","[minecraft:iron_axe@0 - 'Iron Axe']"
184,"thaumicbases","Thaumic Bases","[thaumicbases:overchanter@0 - 'Overchanting Table']"
185,"tabrestoration","Thaumic Restoration","[thaumicrestoration:item_wand@0 - 'Novice Wand']"
186,"trm","Industrial Magic - TechReborn","[techreborn:irondrill@0 - 'Steel Drill']"
187,"ae2wtlib","AE2 Wireless Terminals (AE2WTLib)","[ae2wtlib:wut@0 - 'Wireless Ultimate Terminal']"
188,"enderio.machines","EnderIO Machines","[enderio:item_enderface@3 - 'Enderface']"
189,"enderio.items","EnderIO Items","[enderio:item_enderface@1 - 'Enderface']"
190,"enderio.materials","EnderIO Materials","[enderio:item_enderface@2 - 'Enderface']"
191,"enderio.main","EnderIO Blocks","[enderio:item_enderface@0 - 'Enderface']"
192,"enderio.mobs","EnderIO Souls","[enderio:item_enderface@4 - 'Enderface']"
193,"enderio.conduits","EnderIO Conduits","[enderio:item_enderface@5 - 'Enderface']"
194,"enderio.invpanel","EnderIO Inventory Panel","[enderio:item_enderface@6 - 'Enderface']"
195,"chiselCreativeTab","Chisel","[chisel:chisel_iron@0 - 'Chisel']"
196,"storagedrawers","Storage Drawers","[storagedrawers:basicdrawers@1 - 'Basic Drawers 1x2']"
197,"enderutilities","Ender Utilities","[enderutilities:enderpearlreusable@1 - 'Elite Ender Pearl (reusable)']"
198,"extrabotany","ExtraBotany","[extrabotany:kinggarden@0 - 'Garden of King's Law']"
199,"immersivecables","Immersive Cables","[immersivecables:wire_coil@0 - 'Fluix Wire Coil']"
200,"ironchest","Iron Chests","[ironchest:iron_chest@0 - 'Iron Chest']"
201,"netherendingores","Netherending Ores","[netherendingores:creative_tab@0 - 'Creative Tab Block']"
202,"storagedrawersextra","Storage Drawers Extras","[storagedrawersextra:extra_drawers@1 - 'Basic Drawer 1x2']"
203,"thaumicaugmentation","Thaumic Augmentation","[thaumicaugmentation:material@2 - 'Amalgamated Gear']"
204,"thaumictinkerer","Thaumic Tinkerer","[thaumictinkerer:share_book@0 - 'Tome of Knowledge Sharing']"
205,"TCompGeneral","Tinkers' Complement General","[tcomplement:melter@0 - 'Melter']"
206,"TCompTools","Tinkers' Complement Tools","[tcomplement:chisel@0 - 'Iron Chisel']"
207,"torchmaster","TorchMaster","[torchmaster:mega_torch@0 - 'Mega Torch']"
208,"simplelogic","SimpleLogic","[minecraft:redstone@0 - 'Redstone']"
209,"agricraft","AgriCraft","[agricraft:debugger@0 - 'Debugger']"
210,"agricraft_seeds","AgriCraft Seeds","[agricraft:agri_seed@0 - 'Carrot Seeds']"
211,"portals","Portals","[minecraft:end_portal_frame@0 - 'Lateral End Portal Frame']"
