"Registry Name","Spawned ID","Egg primary color","Egg secondary color"
"minecraft:parrot","minecraft:parrot","0x000DA70B (    894731)","0x00FF0000 (  16711680)"
"minecraft:pig","minecraft:pig","0x00F0A5A2 (  15771042)","0x00DB635F (  14377823)"
"minecraft:polar_bear","minecraft:polar_bear","0x00F2F2F2 (  15921906)","0x00959590 (   9803152)"
"minecraft:rabbit","minecraft:rabbit","0x00995F40 (  10051392)","0x00734831 (   7555121)"
"minecraft:sheep","minecraft:sheep","0x00E7E7E7 (  15198183)","0x00FFB5B5 (  16758197)"
"minecraft:shulker","minecraft:shulker","0x00946794 (   9725844)","0x004D3852 (   5060690)"
"minecraft:silverfish","minecraft:silverfish","0x006E6E6E (   7237230)","0x00303030 (   3158064)"
"minecraft:skeleton","minecraft:skeleton","0x00C1C1C1 (  12698049)","0x00494949 (   4802889)"
"minecraft:skeleton_horse","minecraft:skeleton_horse","0x0068684F (   6842447)","0x00E5E5D8 (  15066584)"
"minecraft:slime","minecraft:slime","0x0051A03E (   5349438)","0x007EBF6E (   8306542)"
"minecraft:spider","minecraft:spider","0x00342D27 (   3419431)","0x00A80E0E (  11013646)"
"minecraft:squid","minecraft:squid","0x00223B4D (   2243405)","0x00708899 (   7375001)"
"minecraft:stray","minecraft:stray","0x00617677 (   6387319)","0x00DDEAEA (  14543594)"
"minecraft:vex","minecraft:vex","0x007A90A4 (   8032420)","0x00E8EDF1 (  15265265)"
"minecraft:villager","minecraft:villager","0x00563C33 (   5651507)","0x00BD8B72 (  12422002)"
"minecraft:vindication_illager","minecraft:vindication_illager","0x00959B9B (   9804699)","0x00275E61 (   2580065)"
"minecraft:witch","minecraft:witch","0x00340000 (   3407872)","0x0051A03E (   5349438)"
"minecraft:wither_skeleton","minecraft:wither_skeleton","0x00141414 (   1315860)","0x00474D4D (   4672845)"
"minecraft:wolf","minecraft:wolf","0x00D7D3D3 (  14144467)","0x00CEAF96 (  13545366)"
"minecraft:zombie","minecraft:zombie","0x0000AFAF (     44975)","0x00799C65 (   7969893)"
"minecraft:zombie_horse","minecraft:zombie_horse","0x00315234 (   3232308)","0x0097C284 (   9945732)"
"minecraft:zombie_pigman","minecraft:zombie_pigman","0x00EA9393 (  15373203)","0x004C7129 (   5009705)"
"minecraft:zombie_villager","minecraft:zombie_villager","0x00563C33 (   5651507)","0x00799C65 (   7969893)"
"mysticalworld:entity_beetle","mysticalworld:entity_beetle","0x00418594 (   4294036)","0x00211D15 (   2170133)"
"mysticalworld:entity_deer","mysticalworld:entity_deer","0xFFA18458 (  -6192040)","0xFF5E4D33 ( -10597069)"
"mysticalworld:entity_endermini","mysticalworld:entity_endermini","0xFFA11E78 (  -6218120)","0xFF650CBE ( -10154818)"
"mysticalworld:entity_fox","mysticalworld:entity_fox","0x00D46724 (  13920036)","0x00F5E0D3 (  16113875)"
"mysticalworld:entity_frog","mysticalworld:entity_frog","0x00285234 (   2642484)","0x00DBE697 (  14411415)"
"mysticalworld:entity_sprout","mysticalworld:entity_sprout","0x00E8F442 (  15266882)","0x00D11F5A (  13705050)"
"nuclearcraft:feral_ghoul","nuclearcraft:feral_ghoul","0x00967D73 (   9862515)","0x00302C28 (   3157032)"
"plustic:blindbandit","plustic:blindbandit","0x00FF00FF (  16711935)","0x00FF0000 (  16711680)"
"plustic:supremeleader","plustic:supremeleader","0x00FF0000 (  16711680)","0x000000FF (       255)"
"randomthings:spirit","randomthings:spirit","0x00000000 (         0)","0x000009F6 (      2550)"
"tconstruct:blueslime","tconstruct:blueslime","0x0047EFF5 (   4714485)","0x00ACFFF4 (  11337716)"
"tg:observer","tg:observer","0x00000000 (         0)","0x00720000 (   7471104)"
"thaumcraft:brainyzombie","thaumcraft:brainyzombie","0xFFFFC0FF (    -16129)","0xFF008000 ( -16744448)"
"thaumcraft:cultistcleric","thaumcraft:cultistcleric","0x00900608 (   9438728)","0x00800000 (   8388608)"
"thaumcraft:cultistknight","thaumcraft:cultistknight","0x00900608 (   9438728)","0x00000080 (       128)"
"thaumcraft:cultistleader","thaumcraft:cultistleader","0x006868D2 (   6842578)","0x00900608 (   9438728)"
"thaumcraft:cultistportalgreater","thaumcraft:cultistportalgreater","0x006868D2 (   6842578)","0x00008080 (     32896)"
"thaumcraft:cultistportallesser","thaumcraft:cultistportallesser","0x00900608 (   9438728)","0x006060D2 (   6316242)"
"thaumcraft:eldritchcrab","thaumcraft:eldritchcrab","0x00808080 (   8421504)","0x00550000 (   5570560)"
"thaumcraft:eldritchgolem","thaumcraft:eldritchgolem","0x006868D2 (   6842578)","0x00888888 (   8947848)"
"thaumcraft:eldritchguardian","thaumcraft:eldritchguardian","0x00808080 (   8421504)","0x00000000 (         0)"
"thaumcraft:eldritchwarden","thaumcraft:eldritchwarden","0x006868D2 (   6842578)","0x00808080 (   8421504)"
"thaumcraft:firebat","thaumcraft:firebat","0xFFFFC0FF (    -16129)","0xCFF00000 (-806354944)"
"thaumcraft:giantbrainyzombie","thaumcraft:giantbrainyzombie","0xFFFFC0FF (    -16129)","0xFF004000 ( -16760832)"
"thaumcraft:inhabitedzombie","thaumcraft:inhabitedzombie","0x00808080 (   8421504)","0x00550000 (   5570560)"
"thaumcraft:mindspider","thaumcraft:mindspider","0x004C3E30 (   4996656)","0x00444444 (   4473924)"
"thaumcraft:pech","thaumcraft:pech","0xFFFFC0FF (    -16129)","0xFF400040 ( -12582848)"
"thaumcraft:spellbat","thaumcraft:spellbat","0xFFFFC0FF (    -16129)","0xCFF00000 (-806354944)"
"thaumcraft:taintacle","thaumcraft:taintacle","0x00A206A2 (  10618530)","0x00443344 (   4469572)"
"thaumcraft:taintaclegiant","thaumcraft:taintaclegiant","0x006868D2 (   6842578)","0x00A206A2 (  10618530)"
"thaumcraft:taintcrawler","thaumcraft:taintcrawler","0x00A206A2 (  10618530)","0x00303030 (   3158064)"
"thaumcraft:taintseed","thaumcraft:taintseed","0x00A206A2 (  10618530)","0x00442255 (   4465237)"
"thaumcraft:taintseedprime","thaumcraft:taintseedprime","0x00A206A2 (  10618530)","0x00553366 (   5583718)"
"thaumcraft:taintswarm","thaumcraft:taintswarm","0x00A206A2 (  10618530)","0x00FF8080 (  16744576)"
"thaumcraft:thaumslime","thaumcraft:thaumslime","0x00A206A2 (  10618530)","0xFFFF80FF (    -32513)"
"thaumcraft:wisp","thaumcraft:wisp","0xFFFFC0FF (    -16129)","0xFFFFFFFF (        -1)"
"thermalfoundation:basalz","thermalfoundation:basalz","0x00606060 (   6316128)","0x00B3ABA3 (  11774883)"
"thermalfoundation:blitz","thermalfoundation:blitz","0x00F0F8FF (  15792383)","0x00FFEFD5 (  16773077)"
"thermalfoundation:blizz","thermalfoundation:blizz","0x00E0FBFF (  14744575)","0x006BE6FF (   7071487)"
