+-----+--------------------------------------------+------------------------------------------------------------+------------+-------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                                                 | BiomeType  | BiomeDictionary.Type                            | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|   9 | minecraft:sky                              | The End                                                    |            | COLD, DRY, END                                  | { minecraft:enderman [weight: 10, min: 4, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_endermini [weight: 50, min: 1, max: 1] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  10 | minecraft:frozen_ocean                     | FrozenOcean                                                |            | COLD, OCEAN, SNOWY, WATER                       | { embers:ancient_golem [weight: 25, min: 1, max: 1] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  11 | minecraft:frozen_river                     | FrozenRiver                                                |            | COLD, RIVER, SNOWY, WATER                       | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  12 | minecraft:ice_flats                        | Ice Plains                                                 | ICY        | COLD, SNOWY, WASTELAND                          | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { embers:ancient_golem [weight: 25, min: 1, max: 1] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 20, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 80, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { bewitchment:raven [weight: 20, min: 1, max: 4] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|  13 | minecraft:ice_mountains                    | Ice Mountains                                              |            | COLD, MOUNTAIN, SNOWY                           | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 20, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 80, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  14 | minecraft:mushroom_island                  | MushroomIsland                                             |            | MUSHROOM, RARE                                  | { minecraft:mooshroom [weight: 8, min: 4, max: 8] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore                                        |            | BEACH, MUSHROOM, RARE                           | { minecraft:mooshroom [weight: 8, min: 4, max: 8] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  16 | minecraft:beaches                          | Beach                                                      |            | BEACH                                           | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  17 | minecraft:desert_hills                     | DesertHills                                                |            | DRY, HILLS, HOT, SANDY                          | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { thermalfoundation:blitz [weight: 10, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  18 | minecraft:forest_hills                     | ForestHills                                                |            | FOREST, HILLS                                   | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { mekanism:babyskeleton [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                          |
|  19 | minecraft:taiga_hills                      | TaigaHills                                                 |            | COLD, CONIFEROUS, FOREST, HILLS                 | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { mekanism:babyskeleton [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                              |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge                                         |            | MOUNTAIN                                        | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
