+-----------------------------------------+---------------------------------------------------------------------------------------+--------------------------------------------+--------------------------------------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                                                                                                            |
| of the Block class in question. The actual final values may be different                                                                                                                                                  |
| for different states of the block, or they may depend on a TileEntity etc.                                                                                                                                                |
+-----------------------------------------+---------------------------------------------------------------------------------------+--------------------------------------------+--------------------------------------------+
| Mod name                                | Registry name                                                                         |                                   Hardness |                                 Resistance |
| Blood Arsenal                           | bloodarsenal:blood_infused_wooden_stairs                                              |                                       3.00 |                                      12.00 |
| Blood Arsenal                           | bloodarsenal:blood_stained_glass                                                      |                                       1.00 |                                       9.00 |
| Blood Arsenal                           | bloodarsenal:blood_stained_glass_pane                                                 |                                       1.00 |                                       9.00 |
| Blood Arsenal                           | bloodarsenal:blood_torch                                                              |                                       0.00 |                                       0.00 |
| Blood Arsenal                           | bloodarsenal:glass_shards                                                             |                                       0.75 |                                       3.75 |
| Blood Arsenal                           | bloodarsenal:refined_life_essence                                                     |                                       0.00 |                                       0.00 |
| Blood Arsenal                           | bloodarsenal:slate                                                                    |                                       2.00 |                                      15.00 |
| Blood Arsenal                           | bloodarsenal:stasis_plate                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:alchemy_array                                                              |                                       0.10 |                                       0.50 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:alchemy_table                                                              |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:altar                                                                      |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:blood_light                                                                |                                       0.00 |                                       0.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:blood_rune                                                                 |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:blood_tank                                                                 |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:decorative_brick                                                           |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_brick_1                                                              |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_brick_2                                                              |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_crucible                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_crystal                                                              |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_crystallizer                                                         |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_extras                                                               |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_light                                                                |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_pillar_1                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_pillar_2                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_pillar_cap_1                                                         |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_pillar_cap_2                                                         |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_pillar_cap_3                                                         |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_pylon                                                                |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_stairs_1                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_stairs_2                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_stairs_3                                                             |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:demon_wall_1                                                               |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:dimensional_portal                                                         |                                      -1.00 |                                    6000.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:incense_altar                                                              |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:input_routing_node                                                         |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:inversion_pillar                                                           |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:inversion_pillar_end                                                       |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:item_routing_node                                                          |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:life_essence                                                               |                                       0.00 |                                       0.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:master_routing_node                                                        |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:mimic                                                                      |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:output_routing_node                                                        |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:path                                                                       |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:phantom                                                                    |                                       0.00 |                                       0.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:ritual_controller                                                          |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:ritual_stone                                                               |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:soul_forge                                                                 |                                       2.00 |                                      15.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:spectral                                                                   |                                       0.00 |                                       0.00 |
| Blood Magic: Alchemical Wizardry        | bloodmagic:teleposer                                                                  |                                       2.00 |                                      15.00 |
| Botania                                 | botania:alchemycatalyst                                                               |                                       2.00 |                                      30.00 |
| Botania                                 | botania:alfheimportal                                                                 |                                      10.00 |                                      50.00 |
| Botania                                 | botania:altar                                                                         |                                       3.50 |                                      17.50 |
| Botania                                 | botania:altgrass                                                                      |                                       0.60 |                                       3.00 |
| Botania                                 | botania:animatedtorch                                                                 |                                       0.00 |                                       0.00 |
| Botania                                 | botania:avatar                                                                        |                                       2.00 |                                      10.00 |
| Botania                                 | botania:bellows                                                                       |                                       2.00 |                                      10.00 |
| Botania                                 | botania:bifrost                                                                       |                                      -1.00 |                                       0.00 |
| Botania                                 | botania:bifrostperm                                                                   |                                       0.30 |                                       1.50 |
| Botania                                 | botania:bifrostpermpane                                                               |                                       0.30 |                                       1.50 |
| Botania                                 | botania:biomestonea                                                                   |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea0slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea0slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea0stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea0wall                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea10slab                                                             |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea10slabfull                                                         |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea10stairs                                                           |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea11slab                                                             |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea11slabfull                                                         |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea11stairs                                                           |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea12slab                                                             |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea12slabfull                                                         |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea12stairs                                                           |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea13slab                                                             |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea13slabfull                                                         |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea13stairs                                                           |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea14slab                                                             |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea14slabfull                                                         |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea14stairs                                                           |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea15slab                                                             |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea15slabfull                                                         |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea15stairs                                                           |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea1slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea1slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea1stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea2slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea2slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea2stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea3slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea3slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea3stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea4slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea4slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea4stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea5slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea5slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea5stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea6slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea6slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea6stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea7slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea7slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea7stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea8slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea8slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea8stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea9slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea9slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestonea9stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb                                                                   |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb0slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb0slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb0stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb1slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb1slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb1stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb2slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb2slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb2stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb3slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb3slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb3stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb4slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb4slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb4stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb5slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb5slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb5stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb6slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb6slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb6stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb7slab                                                              |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb7slabfull                                                          |                                       1.50 |                                      30.00 |
| Botania                                 | botania:biomestoneb7stairs                                                            |                                       1.50 |                                      30.00 |
| Botania                                 | botania:blazeblock                                                                    |                                       3.00 |                                      30.00 |
| Botania                                 | botania:brewery                                                                       |                                       2.00 |                                      30.00 |
| Botania                                 | botania:buriedpetals                                                                  |                                       0.00 |                                       0.00 |
| Botania                                 | botania:cacophoniumblock                                                              |                                       0.80 |                                       4.00 |
| Botania                                 | botania:cellblock                                                                     |                                       0.00 |                                       0.00 |
| Botania                                 | botania:cocoon                                                                        |                                       3.00 |                                     150.00 |
| Botania                                 | botania:conjurationcatalyst                                                           |                                       2.00 |                                      30.00 |
| Botania                                 | botania:corporeacrystalcube                                                           |                                       5.50 |                                      27.50 |
| Botania                                 | botania:corporeafunnel                                                                |                                       5.50 |                                      27.50 |
| Botania                                 | botania:corporeaindex                                                                 |                                       5.50 |                                      27.50 |
| Botania                                 | botania:corporeainterceptor                                                           |                                       5.50 |                                      27.50 |
| Botania                                 | botania:corporearetainer                                                              |                                       5.50 |                                      27.50 |
| Botania                                 | botania:custombrick                                                                   |                                       2.00 |                                      15.00 |
| Botania                                 | botania:distributor                                                                   |                                       2.00 |                                      30.00 |
| Botania                                 | botania:doubleflower1                                                                 |                                       0.00 |                                       0.00 |
| Botania                                 | botania:doubleflower2                                                                 |                                       0.00 |                                       0.00 |
| Botania                                 | botania:dreamwood                                                                     |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood0slab                                                                |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood0slabfull                                                            |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood0stairs                                                              |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood0wall                                                                |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood1slab                                                                |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood1slabfull                                                            |                                       2.00 |                                      10.00 |
| Botania                                 | botania:dreamwood1stairs                                                              |                                       2.00 |                                      10.00 |
| Botania                                 | botania:elfglass                                                                      |                                       0.30 |                                       1.50 |
| Botania                                 | botania:elfglasspane                                                                  |                                       0.30 |                                       1.50 |
| Botania                                 | botania:enchantedsoil                                                                 |                                       0.60 |                                       3.00 |
| Botania                                 | botania:enchanter                                                                     |                                       3.00 |                                      15.00 |
| Botania                                 | botania:endereyeblock                                                                 |                                       3.00 |                                      30.00 |
| Botania                                 | botania:fakeair                                                                       |                                       0.00 |                                       0.00 |
| Botania                                 | botania:felpumpkin                                                                    |                                       1.00 |                                       5.00 |
| Botania                                 | botania:floatingspecialflower                                                         |                                       0.50 |                                       2.50 |
| Botania                                 | botania:flower                                                                        |                                       0.00 |                                       0.00 |
| Botania                                 | botania:forestdrum                                                                    |                                       2.00 |                                      10.00 |
| Botania                                 | botania:foresteye                                                                     |                                       5.00 |                                      30.00 |
| Botania                                 | botania:gaiaheadblock                                                                 |                                       1.00 |                                       5.00 |
| Botania                                 | botania:ghostrail                                                                     |                                       0.00 |                                       0.00 |
| Botania                                 | botania:hourglass                                                                     |                                       2.00 |                                      10.00 |
| Botania                                 | botania:incenseplate                                                                  |                                       2.00 |                                      10.00 |
| Botania                                 | botania:lightlauncher                                                                 |                                       2.00 |                                      10.00 |
| Botania                                 | botania:lightrelay                                                                    |                                       0.00 |                                       0.00 |
| Botania                                 | botania:livingrock                                                                    |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock0slab                                                               |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock0slabfull                                                           |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock0stairs                                                             |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock0wall                                                               |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock1slab                                                               |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock1slabfull                                                           |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingrock1stairs                                                             |                                       2.00 |                                      30.00 |
| Botania                                 | botania:livingwood                                                                    |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood0slab                                                               |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood0slabfull                                                           |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood0stairs                                                             |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood0wall                                                               |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood1slab                                                               |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood1slabfull                                                           |                                       2.00 |                                      10.00 |
| Botania                                 | botania:livingwood1stairs                                                             |                                       2.00 |                                      10.00 |
| Botania                                 | botania:manabomb                                                                      |                                      12.00 |                                      60.00 |
| Botania                                 | botania:manadetector                                                                  |                                       2.00 |                                      30.00 |
| Botania                                 | botania:manaflame                                                                     |                                       0.00 |                                       0.00 |
| Botania                                 | botania:managlass                                                                     |                                       0.30 |                                       1.50 |
| Botania                                 | botania:managlasspane                                                                 |                                       0.30 |                                       1.50 |
| Botania                                 | botania:manavoid                                                                      |                                       2.00 |                                    6000.00 |
| Botania                                 | botania:miniisland                                                                    |                                       0.50 |                                       2.50 |
| Botania                                 | botania:mushroom                                                                      |                                       0.00 |                                       0.00 |
| Botania                                 | botania:opencrate                                                                     |                                       2.00 |                                      10.00 |
| Botania                                 | botania:pavement                                                                      |                                       2.00 |                                      30.00 |
| Botania                                 | botania:pavement0slab                                                                 |                                       2.00 |                                      30.00 |
