+------------------------------------------+---------------------------------------------+-----------------------+-----------+----+
| Registry name                            | Name                                        | Type                  | Rarity    | ID |
| cyclicmagic:enchantment.multishot        | enchantment.multishot                       | BOW                   | VERY_RARE | 53 |
| cyclicmagic:enchantment.quickdraw        | enchantment.quickdraw                       | BOW                   | VERY_RARE | 54 |
| cyclicmagic:enchantment.reach            | enchantment.reach                           | ARMOR_CHEST           | VERY_RARE | 55 |
| cyclicmagic:enchantment.venom            | enchantment.venom                           | WEAPON                | COMMON    | 56 |
| cyclicmagic:enchantment.waterwalking     | enchantment.waterwalking                    | ARMOR_FEET            | VERY_RARE | 57 |
| draconicevolution:enchant_reaper         | enchantment.draconicevolution.reaperEnchant | WEAPON                | RARE      | 11 |
| endercore:autosmelt                      | enchantment.autosmelt                       | EC_AUTOSMELT          | RARE      | 24 |
| endercore:xpboost                        | enchantment.xpboost                         | EC_XPBOOST            | UNCOMMON  | 23 |
| enderio:repellent                        | enchantment.enderio.repellent               | ARMOR                 | VERY_RARE | 26 |
| enderio:shimmer                          | enchantment.enderio.shimmer                 | ALL                   | VERY_RARE | 29 |
| enderio:soulbound                        | enchantment.enderio.soulbound               | EC_REALLY_ALL         | VERY_RARE | 25 |
| enderio:witherarrow                      | enchantment.enderio.witherarrow             | BOW                   | UNCOMMON  | 27 |
| enderio:witherweapon                     | enchantment.enderio.witherweapon            | WEAPON                | UNCOMMON  | 28 |
| enderzoo:witherarrow                     | enchantment.witherArrow                     | BOW                   | UNCOMMON  | 91 |
| enderzoo:witherweapon                    | enchantment.witherWeapon                    | WEAPON                | UNCOMMON  | 92 |
| minecraft:aqua_affinity                  | enchantment.waterWorker                     | ARMOR_HEAD            | RARE      |  6 |
| minecraft:bane_of_arthropods             | enchantment.damage.arthropods               | WEAPON                | UNCOMMON  | 18 |
| minecraft:binding_curse                  | enchantment.binding_curse                   | WEARABLE              | VERY_RARE | 10 |
| minecraft:blast_protection               | enchantment.protect.explosion               | ARMOR                 | RARE      |  3 |
| minecraft:depth_strider                  | enchantment.waterWalker                     | ARMOR_FEET            | RARE      |  8 |
| minecraft:efficiency                     | enchantment.digging                         | DIGGER                | COMMON    | 32 |
| minecraft:feather_falling                | enchantment.protect.fall                    | ARMOR_FEET            | UNCOMMON  |  2 |
| minecraft:fire_aspect                    | enchantment.fire                            | WEAPON                | RARE      | 20 |
| minecraft:fire_protection                | enchantment.protect.fire                    | ARMOR                 | UNCOMMON  |  1 |
| minecraft:flame                          | enchantment.arrowFire                       | BOW                   | RARE      | 50 |
| minecraft:fortune                        | enchantment.lootBonusDigger                 | DIGGER                | RARE      | 35 |
| minecraft:frost_walker                   | enchantment.frostWalker                     | ARMOR_FEET            | RARE      |  9 |
| minecraft:infinity                       | enchantment.arrowInfinite                   | BOW                   | VERY_RARE | 51 |
| minecraft:knockback                      | enchantment.knockback                       | WEAPON                | UNCOMMON  | 19 |
| minecraft:looting                        | enchantment.lootBonus                       | WEAPON                | RARE      | 21 |
| minecraft:luck_of_the_sea                | enchantment.lootBonusFishing                | FISHING_ROD           | RARE      | 61 |
| minecraft:lure                           | enchantment.fishingSpeed                    | FISHING_ROD           | RARE      | 62 |
| minecraft:mending                        | enchantment.mending                         | BREAKABLE             | RARE      | 70 |
| minecraft:power                          | enchantment.arrowDamage                     | BOW                   | COMMON    | 48 |
| minecraft:projectile_protection          | enchantment.protect.projectile              | ARMOR                 | UNCOMMON  |  4 |
| minecraft:protection                     | enchantment.protect.all                     | ARMOR                 | COMMON    |  0 |
| minecraft:punch                          | enchantment.arrowKnockback                  | BOW                   | RARE      | 49 |
| minecraft:respiration                    | enchantment.oxygen                          | ARMOR_HEAD            | RARE      |  5 |
| minecraft:sharpness                      | enchantment.damage.all                      | WEAPON                | COMMON    | 16 |
| minecraft:silk_touch                     | enchantment.untouching                      | DIGGER                | VERY_RARE | 33 |
| minecraft:smite                          | enchantment.damage.undead                   | WEAPON                | UNCOMMON  | 17 |
| minecraft:sweeping                       | enchantment.sweeping                        | WEAPON                | RARE      | 22 |
| minecraft:tb.elderknowledge              | enchantment.elderKnowledge                  | WEAPON                | RARE      | 14 |
| minecraft:tb.eldritchbane                | enchantment.eldritchBane                    | WEAPON                | RARE      | 13 |
| minecraft:tb.tainted                     | enchantment.tainted                         | WEAPON                | RARE      | 15 |
| minecraft:thorns                         | enchantment.thorns                          | ARMOR_CHEST           | VERY_RARE |  7 |
| minecraft:unbreaking                     | enchantment.durability                      | BREAKABLE             | UNCOMMON  | 34 |
| minecraft:vanishing_curse                | enchantment.vanishing_curse                 | ALL                   | VERY_RARE | 71 |
| naturalpledge:heavy                      | enchantment.naturalpledge.heavy             | naturalpledge:WEIGHTY | COMMON    | 38 |
| naturalpledge:light                      | enchantment.naturalpledge.light             | naturalpledge:WEIGHTY | COMMON    | 39 |
| randomthings:magnetic                    | enchantment.randomthings.magnetic           | DIGGER                | VERY_RARE | 12 |
| tg:regen_primal                          | enchantment.regen_primal                    | ARMOR                 | VERY_RARE | 40 |
| woot:headhunter                          | enchant.woot.headhunter                     | WEAPON                | RARE      | 41 |
| yoyos:collecting                         | enchantment.yoyos.collecting                | collecting            | UNCOMMON  | 42 |
+------------------------------------------+---------------------------------------------+-----------------------+-----------+----+
| Registry name                            | Name                                        | Type                  | Rarity    | ID |
+------------------------------------------+---------------------------------------------+-----------------------+-----------+----+
