+--------------------------------------+----------------------------------------------------------------------------+----------+----------------------------------------------+------------------------------------------------------------+
| OreDict Key                          | Registry name                                                              | Meta/dmg | Display name                                 | NBT                                                        |
| ballCrystallineAlloy                 | enderio:item_alloy_endergy_ball                                            |        1 | Crystalline Alloy Grinding Ball              |                                                            |
| ballCrystallinePinkSlime             | enderio:item_alloy_endergy_ball                                            |        4 | Crystalline Pink Slime Grinding Ball         |                                                            |
| ballDarkSteel                        | enderio:item_alloy_ball                                                    |        6 | Dark Steel Grinding Ball                     |                                                            |
| ballElectricalSteel                  | enderio:item_alloy_ball                                                    |        0 | Electrical Steel Grinding Ball               |                                                            |
| ballEndSteel                         | enderio:item_alloy_ball                                                    |        8 | End Steel Grinding Ball                      |                                                            |
| ballEnergeticAlloy                   | enderio:item_alloy_ball                                                    |        1 | Energetic Alloy Grinding Ball                |                                                            |
| ballEnergeticSilver                  | enderio:item_alloy_endergy_ball                                            |        5 | Energetic Silver Grinding Ball               |                                                            |
| ballInfinity                         | avaritiaio:grindingballinfinity                                            |        0 | Infinity Grinding Ball                       |                                                            |
| ballMelodicAlloy                     | enderio:item_alloy_endergy_ball                                            |        2 | Melodic Alloy Grinding Ball                  |                                                            |
| ballNeutronium                       | avaritiaio:grindingballneutronium                                          |        0 | Neutronium Grinding Ball                     |                                                            |
| ballPulsatingIron                    | enderio:item_alloy_ball                                                    |        5 | Pulsating Iron Grinding Ball                 |                                                            |
| ballRedstoneAlloy                    | enderio:item_alloy_ball                                                    |        3 | Redstone Alloy Grinding Ball                 |                                                            |
| ballSoularium                        | enderio:item_alloy_ball                                                    |        7 | Soularium Grinding Ball                      |                                                            |
| ballStellarAlloy                     | enderio:item_alloy_endergy_ball                                            |        3 | Stellar Alloy Grinding Ball                  |                                                            |
| ballVibrantAlloy                     | enderio:item_alloy_ball                                                    |        2 | Vibrant Alloy Grinding Ball                  |                                                            |
| ballVividAlloy                       | enderio:item_alloy_endergy_ball                                            |        6 | Vivid Alloy Grinding Ball                    |                                                            |
| barsIron                             | minecraft:iron_bars                                                        |        0 | Iron Bars                                    |                                                            |
| battery                              | mekanism:energytablet                                                      |        0 | Energy Tablet                                |                                                            |
| bed                                  | minecraft:bed                                                              |        0 | White Bed                                    |                                                            |
| beeComb                              | extrabees:honey_comb                                                       |    32767 | (WILDCARD)                                   |                                                            |
| beeComb                              | forestry:bee_combs                                                         |    32767 | (WILDCARD)                                   |                                                            |
| beeComb                              | gendustry:honey_comb                                                       |    32767 | (WILDCARD)                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        0 | Mundane Comb                                 |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        1 | Molten Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        2 | Occult Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        3 | Otherworldy Comb                             |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        4 | Transmuting Comb                             |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        5 | Papery Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        6 | Soul Comb                                    |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        7 | Furtive Comb                                 |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        8 | Memory Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        9 | Temporal Comb                                |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       10 | Forgotten Comb                               |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       11 | Windy Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       12 | Firey Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       13 | Watery Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       14 | Earthy Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       15 | item.magicbees.beecomb.te_destabilized.name  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       16 | item.magicbees.beecomb.te_carbon.name        |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       17 | item.magicbees.beecomb.te_lux.name           |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       18 | item.magicbees.beecomb.te_endearing.name     |                                                            |
| beeswax                              | bewitchment:tallow                                                         |        0 | Tallow                                       |                                                            |
| binnie_database                      | botany:database                                                            |        0 | Botanist Database                            |                                                            |
| binnie_database                      | extrabees:dictionary                                                       |        0 | Apiarist Database                            |                                                            |
| binnie_database                      | extratrees:databaselepi                                                    |        0 | Lepidopterist Database                       |                                                            |
| binnie_database                      | extratrees:databasetree                                                    |        0 | Arborist Database                            |                                                            |
| bioplastic                           | nuclearcraft:part                                                          |        6 | Bioplastic                                   |                                                            |
| blockAdaminite                       | jaopca:block_blockadaminite                                                |        0 | Block of Adaminite                           |                                                            |
| blockAdvancedAlloy                   | jaopca:block_blockadvancedalloy                                            |        0 | Block of Advanced Alloy                      |                                                            |
| blockAethium                         | environmentaltech:aethium                                                  |        0 | Aethium                                      |                                                            |
| blockAethium                         | environmentaltech:aethium_bricks                                           |        0 | Aethium Bricks                               |                                                            |
| blockAethium                         | environmentaltech:aethium_paver                                            |        0 | Aethium Paver                                |                                                            |
| blockAethium                         | environmentaltech:aethium_tiles                                            |        0 | Aethium Tiles                                |                                                            |
| blockAlchemical                      | planarartifice:alkimium_block                                              |        0 | Block of Alkimium                            |                                                            |
| blockAlkimium                        | planarartifice:alkimium_block                                              |        0 | Block of Alkimium                            |                                                            |
| blockAlubrass                        | tconstruct:metal                                                           |        5 | Block of Aluminum Brass                      |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        0 | Block of Aluminum                            |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        1 | Block of Aluminum                            |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        2 | Block of Aluminum                            |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        3 | Block of Aluminum                            |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        4 | Block of Aluminum                            |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        5 | Block of Aluminum                            |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        6 | Block of Aluminum                            |                                                            |
| blockAluminium                       | embers:block_aluminum                                                      |        0 | Aluminium Block                              |                                                            |
| blockAluminium                       | immersiveengineering:storage                                               |        1 | Block of Aluminium                           |                                                            |
| blockAluminium                       | nuclearcraft:ingot_block                                                   |       12 | Aluminum Block                               |                                                            |
| blockAluminium                       | techreborn:storage                                                         |        1 | Block of Aluminium                           |                                                            |
| blockAluminium                       | thermalfoundation:storage                                                  |        4 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        0 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        1 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        2 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        3 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        4 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        5 | Block of Aluminum                            |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        6 | Block of Aluminum                            |                                                            |
| blockAluminum                        | embers:block_aluminum                                                      |        0 | Aluminium Block                              |                                                            |
| blockAluminum                        | immersiveengineering:storage                                               |        1 | Block of Aluminium                           |                                                            |
| blockAluminum                        | nuclearcraft:ingot_block                                                   |       12 | Aluminum Block                               |                                                            |
| blockAluminum                        | techreborn:storage                                                         |        1 | Block of Aluminium                           |                                                            |
| blockAluminum                        | thermalfoundation:storage                                                  |        4 | Block of Aluminum                            |                                                            |
| blockAlumite                         | plustic:alumiteblock                                                       |        0 | Alumite Block                                |                                                            |
| blockAmber                           | jaopca:block_blockamber                                                    |        0 | Block of Amber                               |                                                            |
| blockAmericium243                    | nuclearcraft:block_depleted_americium                                      |        0 | Americium-243 Block                          |                                                            |
| blockAmethyst                        | bewitchment:block_of_amethyst                                              |        0 | Block of Amethyst                            |                                                            |
| blockAmethyst                        | mysticalworld:amethyst_block                                               |        0 | Block of Amethyst                            |                                                            |
| blockApatite                         | forestry:resource_storage                                                  |        0 | Block of Apatite                             |                                                            |
| blockAquamarine                      | jaopca:block_blockaquamarine                                               |        0 | Block of Aquamarine                          |                                                            |
| blockAquamarine                      | naturalpledge:storage                                                      |        1 | Aquamarine Bricks                            |                                                            |
| blockArdite                          | tconstruct:metal                                                           |        1 | Block of Ardite                              |                                                            |
| blockAstralStarmetal                 | jaopca:block_blockastralstarmetal                                          |        0 | Block of Astral Starmetal                    |                                                            |
| blockBaseEssence                     | mysticalagriculture:ingot_storage                                          |        0 | Block of Base Essence                        |                                                            |
| blockBauxite                         | jaopca:block_blockbauxite                                                  |        0 | Block of Bauxite                             |                                                            |
| blockBerkelium247                    | nuclearcraft:block_depleted_berkelium                                      |        0 | Berkelium-247 Block                          |                                                            |
| blockBeryllium                       | nuclearcraft:ingot_block                                                   |        9 | Beryllium Block                              |                                                            |
| blockBlackIron                       | extendedcrafting:storage                                                   |        0 | Block of Black Iron                          |                                                            |
| blockBlaze                           | botania:blazeblock                                                         |        0 | Blaze Mesh                                   |                                                            |
| blockBloodBronze                     | bloodtinker:blood_bronze_block                                             |        0 | Blood Bronze Block                           |                                                            |
| blockBloodInfusedIron                | bloodarsenal:blood_infused_iron_block                                      |        0 | Blood Infused Iron Block                     |                                                            |
| blockBloodInfusedWood                | bloodarsenal:blood_infused_wooden_planks                                   |        0 | Blood Infused Wooden Planks                  |                                                            |
| blockBlutonium                       | bigreactors:blockblutonium                                                 |        0 | Blutonium Block                              |                                                            |
| blockBone                            | minecraft:bone_block                                                       |        0 | Bone Block                                   |                                                            |
| blockBone                            | tp:bone_block                                                              |        0 | Compressed Bone Block                        |                                                            |
| blockBoron                           | nuclearcraft:ingot_block                                                   |        5 | Boron Block                                  |                                                            |
| blockBoronArsenide                   | jaopca:block_blockboronarsenide                                            |        0 | Block of Boron Arsenide                      |                                                            |
| blockBoronNitride                    | jaopca:block_blockboronnitride                                             |        0 | Block of Boron Nitride                       |                                                            |
| blockBrass                           | techreborn:storage                                                         |        5 | Block of Brass                               |                                                            |
| blockBrass                           | thaumcraft:metal_brass                                                     |        0 | Brass Block                                  |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        0 | Block of Bronze                              |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        1 | Block of Bronze                              |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        2 | Block of Bronze                              |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        3 | Block of Bronze                              |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        4 | Block of Bronze                              |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        5 | Block of Bronze                              |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        6 | Block of Bronze                              |                                                            |
| blockBronze                          | embers:block_bronze                                                        |        0 | Bronze Block                                 |                                                            |
| blockBronze                          | forestry:resource_storage                                                  |        3 | Block of Bronze                              |                                                            |
| blockBronze                          | mekanism:basicblock                                                        |        1 | Bronze Block                                 |                                                            |
| blockBronze                          | techreborn:storage                                                         |       14 | Block of Bronze                              |                                                            |
| blockBronze                          | thermalfoundation:storage_alloy                                            |        3 | Block of Bronze                              |                                                            |
| blockCactus                          | minecraft:cactus                                                           |        0 | Cactus                                       |                                                            |
| blockCactus                          | minecraft:cactus                                                           |    32767 | (WILDCARD)                                   |                                                            |
| blockCalifornium252                  | nuclearcraft:block_depleted_californium                                    |        0 | Californium-252 Block                        |                                                            |
| blockCarobbiite                      | jaopca:block_blockcarobbiite                                               |        0 | Block of Carobbiite                          |                                                            |
| blockCertusQuartz                    | jaopca:block_blockcertusquartz                                             |        0 | Block of Certus Quartz                       |                                                            |
| blockCharcoal                        | actuallyadditions:block_misc                                               |        5 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        0 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        1 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        2 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        3 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        4 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        5 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        6 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        7 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        8 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |        9 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |       10 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |       11 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |       12 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |       13 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |       14 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal                                                      |       15 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        0 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        1 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        2 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        3 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        4 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        5 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        6 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        7 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        8 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |        9 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |       10 | Block of Charcoal                            |                                                            |
| blockCharcoal                        | chisel:block_charcoal1                                                     |       11 | Block of Charcoal                            |                                                            |
