+-----+--------------------------------------------+------------------------------------------------------------+-------------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |       temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
|  50 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands                                        | 11141290.00 | WARM     | 0.50 | false | false   | COOL       | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID     | spawn, stronghold   |
| 127 | minecraft:void                             | The Void                                                   |        0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                            | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains                                           |        0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                    | stronghold          |
| 130 | minecraft:mutated_desert                   | Desert M                                                   |        2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                           | stronghold          |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M                                            |        0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest                                              |        0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                             | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                                                    |        0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | stronghold          |
| 134 | minecraft:mutated_swampland                | Swampland M                                                |        0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                         |                     |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes                                          |        0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                        | stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                                                   |        0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                                               |        0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                                             |        0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold          |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M                                       |        0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                   | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M                                            |        0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY           | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                                               |       -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga                                          |        0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                             | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M                                      |        0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M                                           |        0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M                                                  |        1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold          |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M                                          |        1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                                               |        2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M                                           |        2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                                             |        2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold          |
+-----+--------------------------------------------+------------------------------------------------------------+-------------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |       temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+-------------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
