+--------------------------------------+----------------------------------------------------------------------------+----------+-----------------------------------------------+------------------------------------------------------------+
| OreDict Key                          | Registry name                                                              | Meta/dmg | Display name                                  | NBT                                                        |
| augmentedLumpAquamarine              | jaopca:item_augmentedlumpaquamarine                                        |        0 | Augmented Aquamarine Lump                     |                                                            |
| augmentedLumpArdite                  | jaopca:item_augmentedlumpardite                                            |        0 | Augmented Ardite Lump                         |                                                            |
| augmentedLumpAstralStarmetal         | jaopca:item_augmentedlumpastralstarmetal                                   |        0 | Augmented Starmetal Lump                      |                                                            |
| augmentedLumpBauxite                 | jaopca:item_augmentedlumpbauxite                                           |        0 | Augmented Bauxite Lump                        |                                                            |
| augmentedLumpBoron                   | jaopca:item_augmentedlumpboron                                             |        0 | Augmented Boron Lump                          |                                                            |
| augmentedLumpCertusQuartz            | jaopca:item_augmentedlumpcertusquartz                                      |        0 | Augmented Certus Quartz Lump                  |                                                            |
| augmentedLumpChargedCertusQuartz     | jaopca:item_augmentedlumpchargedcertusquartz                               |        0 | Augmented Charged Certus Quartz Lump          |                                                            |
| augmentedLumpCinnabar                | jaopca:item_augmentedlumpcinnabar                                          |        0 | Augmented Cinnabar Lump                       |                                                            |
| augmentedLumpCoal                    | teslathingies:augmented_coal                                               |        0 | Augmented Coal Lump                           |                                                            |
| augmentedLumpCobalt                  | jaopca:item_augmentedlumpcobalt                                            |        0 | Augmented Cobalt Lump                         |                                                            |
| augmentedLumpCopper                  | teslathingies:augmented_copper                                             |        0 | Augmented Copper Lump                         |                                                            |
| augmentedLumpDiamond                 | teslathingies:augmented_diamond                                            |        0 | Augmented Diamond Lump                        |                                                            |
| augmentedLumpDimensionalShard        | jaopca:item_augmentedlumpdimensionalshard                                  |        0 | Augmented Dimensional Shard Lump              |                                                            |
| augmentedLumpDraconium               | jaopca:item_augmentedlumpdraconium                                         |        0 | Augmented Draconium Lump                      |                                                            |
| augmentedLumpEmerald                 | teslathingies:augmented_emerald                                            |        0 | Augmented Emerald Lump                        |                                                            |
| augmentedLumpGalena                  | jaopca:item_augmentedlumpgalena                                            |        0 | Augmented Galena Lump                         |                                                            |
| augmentedLumpGarnet                  | jaopca:item_augmentedlumpgarnet                                            |        0 | Augmented Garnet Lump                         |                                                            |
| augmentedLumpGold                    | teslathingies:augmented_gold                                               |        0 | Augmented Gold Lump                           |                                                            |
| augmentedLumpIridium                 | teslathingies:augmented_iridium                                            |        0 | Augmented Iridium Lump                        |                                                            |
| augmentedLumpIron                    | teslathingies:augmented_iron                                               |        0 | Augmented Iron Lump                           |                                                            |
| augmentedLumpLapis                   | teslathingies:augmented_lapis                                              |        0 | Augmented Lapis Lump                          |                                                            |
| augmentedLumpLead                    | teslathingies:augmented_lead                                               |        0 | Augmented Lead Lump                           |                                                            |
| augmentedLumpLithium                 | jaopca:item_augmentedlumplithium                                           |        0 | Augmented Lithium Lump                        |                                                            |
| augmentedLumpMagnesium               | teslathingies:augmented_magnesium                                          |        0 | Augmented Magnesium Lump                      |                                                            |
| augmentedLumpMithril                 | teslathingies:augmented_mithril                                            |        0 | Augmented Mithril Lump                        |                                                            |
| augmentedLumpNickel                  | teslathingies:augmented_nickel                                             |        0 | Augmented Nickel Lump                         |                                                            |
| augmentedLumpOpal                    | jaopca:item_augmentedlumpopal                                              |        0 | Augmented Opal Lump                           |                                                            |
| augmentedLumpOsmium                  | teslathingies:augmented_osmium                                             |        0 | Augmented Osmium Lump                         |                                                            |
| augmentedLumpPeridot                 | jaopca:item_augmentedlumpperidot                                           |        0 | Augmented Peridot Lump                        |                                                            |
| augmentedLumpPlatinum                | teslathingies:augmented_platinum                                           |        0 | Augmented Platinum Lump                       |                                                            |
| augmentedLumpPyrite                  | jaopca:item_augmentedlumppyrite                                            |        0 | Augmented Pyrite Lump                         |                                                            |
| augmentedLumpQuartz                  | jaopca:item_augmentedlumpquartz                                            |        0 | Augmented Quartz Lump                         |                                                            |
| augmentedLumpQuartzBlack             | jaopca:item_augmentedlumpquartzblack                                       |        0 | Augmented Black Quartz Lump                   |                                                            |
| augmentedLumpRedstone                | teslathingies:augmented_redstone                                           |        0 | Augmented Redstone Lump                       |                                                            |
| augmentedLumpRuby                    | jaopca:item_augmentedlumpruby                                              |        0 | Augmented Ruby Lump                           |                                                            |
| augmentedLumpSalt                    | jaopca:item_augmentedlumpsalt                                              |        0 | Augmented Salt Lump                           |                                                            |
| augmentedLumpSapphire                | jaopca:item_augmentedlumpsapphire                                          |        0 | Augmented Sapphire Lump                       |                                                            |
| augmentedLumpSilver                  | teslathingies:augmented_silver                                             |        0 | Augmented Silver Lump                         |                                                            |
| augmentedLumpSodalite                | jaopca:item_augmentedlumpsodalite                                          |        0 | Augmented Sodalite Lump                       |                                                            |
| augmentedLumpSphalerite              | jaopca:item_augmentedlumpsphalerite                                        |        0 | Augmented Sphalerite Lump                     |                                                            |
| augmentedLumpSteel                   | teslathingies:augmented_steel                                              |        0 | Augmented Steel Lump                          |                                                            |
| augmentedLumpSulfur                  | jaopca:item_augmentedlumpsulfur                                            |        0 | Augmented Sulfur Lump                         |                                                            |
| augmentedLumpSulphur                 | jaopca:item_augmentedlumpsulfur                                            |        0 | Augmented Sulfur Lump                         |                                                            |
| augmentedLumpThorium                 | jaopca:item_augmentedlumpthorium                                           |        0 | Augmented Thorium Lump                        |                                                            |
| augmentedLumpTin                     | teslathingies:augmented_tin                                                |        0 | Augmented Tin Lump                            |                                                            |
| augmentedLumpTungsten                | teslathingies:augmented_tungsten                                           |        0 | Augmented Tungsten Lump                       |                                                            |
| augmentedLumpUranium                 | teslathingies:augmented_uranium                                            |        0 | Augmented Uranium Lump                        |                                                            |
| augmentedLumpYellorium               | jaopca:item_augmentedlumpyellorium                                         |        0 | Augmented Yellorium Lump                      |                                                            |
| bEnderAirBottle                      | botania:manaresource                                                       |       15 | Ender Air Bottle                              |                                                            |
| bFlask                               | botania:vial                                                               |        1 | Alfglass Flask                                |                                                            |
| bPlaceholder                         | botania:manaresource                                                       |       11 | Crafting Placeholder                          |                                                            |
| bRedString                           | botania:manaresource                                                       |       12 | Red String                                    |                                                            |
| bVial                                | botania:vial                                                               |        0 | Managlass Vial                                |                                                            |
| ballConductiveIron                   | enderio:item_alloy_ball                                                    |        4 | Conductive Iron Grinding Ball                 |                                                            |
| ballConstructionAlloy                | enderio:item_alloy_ball                                                    |        9 | Iron Alloy Grinding Ball                      |                                                            |
| ballCrudeSteel                       | enderio:item_alloy_endergy_ball                                            |        0 | Crude Steel Grinding Ball                     |                                                            |
| ballCrystallineAlloy                 | enderio:item_alloy_endergy_ball                                            |        1 | Crystalline Alloy Grinding Ball               |                                                            |
| ballCrystallinePinkSlime             | enderio:item_alloy_endergy_ball                                            |        4 | Crystalline Pink Slime Grinding Ball          |                                                            |
| ballDarkSteel                        | enderio:item_alloy_ball                                                    |        6 | Dark Steel Grinding Ball                      |                                                            |
| ballElectricalSteel                  | enderio:item_alloy_ball                                                    |        0 | Electrical Steel Grinding Ball                |                                                            |
| ballEndSteel                         | enderio:item_alloy_ball                                                    |        8 | End Steel Grinding Ball                       |                                                            |
| ballEnergeticAlloy                   | enderio:item_alloy_ball                                                    |        1 | Energetic Alloy Grinding Ball                 |                                                            |
| ballEnergeticSilver                  | enderio:item_alloy_endergy_ball                                            |        5 | Energetic Silver Grinding Ball                |                                                            |
| ballInfinity                         | avaritiaio:grindingballinfinity                                            |        0 | Infinity Grinding Ball                        |                                                            |
| ballMelodicAlloy                     | enderio:item_alloy_endergy_ball                                            |        2 | Melodic Alloy Grinding Ball                   |                                                            |
| ballNeutronium                       | avaritiaio:grindingballneutronium                                          |        0 | Neutronium Grinding Ball                      |                                                            |
| ballPulsatingIron                    | enderio:item_alloy_ball                                                    |        5 | Pulsating Iron Grinding Ball                  |                                                            |
| ballRedstoneAlloy                    | enderio:item_alloy_ball                                                    |        3 | Redstone Alloy Grinding Ball                  |                                                            |
| ballSoularium                        | enderio:item_alloy_ball                                                    |        7 | Soularium Grinding Ball                       |                                                            |
| ballStellarAlloy                     | enderio:item_alloy_endergy_ball                                            |        3 | Stellar Alloy Grinding Ball                   |                                                            |
| ballVibrantAlloy                     | enderio:item_alloy_ball                                                    |        2 | Vibrant Alloy Grinding Ball                   |                                                            |
| ballVividAlloy                       | enderio:item_alloy_endergy_ball                                            |        6 | Vivid Alloy Grinding Ball                     |                                                            |
| barsIron                             | minecraft:iron_bars                                                        |        0 | Iron Bars                                     |                                                            |
| battery                              | mekanism:energytablet                                                      |        0 | Energy Tablet                                 |                                                            |
| bed                                  | minecraft:bed                                                              |        0 | White Bed                                     |                                                            |
| beeComb                              | extrabees:honey_comb                                                       |    32767 | (WILDCARD)                                    |                                                            |
| beeComb                              | forestry:bee_combs                                                         |    32767 | (WILDCARD)                                    |                                                            |
| beeComb                              | gendustry:honey_comb                                                       |    32767 | (WILDCARD)                                    |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        0 | Mundane Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        1 | Molten Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        2 | Occult Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        3 | Otherworldy Comb                              |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        4 | Transmuting Comb                              |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        5 | Papery Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        6 | Soul Comb                                     |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        7 | Furtive Comb                                  |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        8 | Memory Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |        9 | Temporal Comb                                 |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       10 | Forgotten Comb                                |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       11 | Windy Comb                                    |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       12 | Firey Comb                                    |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       13 | Watery Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       14 | Earthy Comb                                   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       15 | item.magicbees.beecomb.te_destabilized.name   |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       16 | item.magicbees.beecomb.te_carbon.name         |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       17 | item.magicbees.beecomb.te_lux.name            |                                                            |
| beeComb                              | magicbees:beecomb                                                          |       18 | item.magicbees.beecomb.te_endearing.name      |                                                            |
| beeswax                              | bewitchment:tallow                                                         |        0 | Tallow                                        |                                                            |
| binnie_database                      | botany:database                                                            |        0 | Botanist Database                             |                                                            |
| binnie_database                      | extrabees:dictionary                                                       |        0 | Apiarist Database                             |                                                            |
| binnie_database                      | extratrees:databaselepi                                                    |        0 | Lepidopterist Database                        |                                                            |
| binnie_database                      | extratrees:databasetree                                                    |        0 | Arborist Database                             |                                                            |
| bioplastic                           | nuclearcraft:part                                                          |        6 | Bioplastic                                    |                                                            |
| blockAdaminite                       | jaopca:block_blockadaminite                                                |        0 | Block of Adaminite                            |                                                            |
| blockAdvancedAlloy                   | jaopca:block_blockadvancedalloy                                            |        0 | Block of Advanced Alloy                       |                                                            |
| blockAethium                         | environmentaltech:aethium                                                  |        0 | Aethium                                       |                                                            |
| blockAethium                         | environmentaltech:aethium_bricks                                           |        0 | Aethium Bricks                                |                                                            |
| blockAethium                         | environmentaltech:aethium_paver                                            |        0 | Aethium Paver                                 |                                                            |
| blockAethium                         | environmentaltech:aethium_tiles                                            |        0 | Aethium Tiles                                 |                                                            |
| blockAlchemical                      | planarartifice:alkimium_block                                              |        0 | Block of Alkimium                             |                                                            |
| blockAlkimium                        | planarartifice:alkimium_block                                              |        0 | Block of Alkimium                             |                                                            |
| blockAlubrass                        | tconstruct:metal                                                           |        5 | Block of Aluminum Brass                       |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        0 | Block of Aluminum                             |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        1 | Block of Aluminum                             |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        2 | Block of Aluminum                             |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        3 | Block of Aluminum                             |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        4 | Block of Aluminum                             |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        5 | Block of Aluminum                             |                                                            |
| blockAluminium                       | chisel:blockaluminum                                                       |        6 | Block of Aluminum                             |                                                            |
| blockAluminium                       | thermalfoundation:storage                                                  |        4 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        0 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        1 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        2 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        3 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        4 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        5 | Block of Aluminum                             |                                                            |
| blockAluminum                        | chisel:blockaluminum                                                       |        6 | Block of Aluminum                             |                                                            |
| blockAluminum                        | thermalfoundation:storage                                                  |        4 | Block of Aluminum                             |                                                            |
| blockAlumite                         | plustic:alumiteblock                                                       |        0 | Alumite Block                                 |                                                            |
| blockAmber                           | jaopca:block_blockamber                                                    |        0 | Block of Amber                                |                                                            |
| blockAmericium243                    | nuclearcraft:fertile_isotope                                               |        3 | Americium-243 Block                           |                                                            |
| blockAmethyst                        | bewitchment:block_of_amethyst                                              |        0 | Block of Amethyst                             |                                                            |
| blockApatite                         | forestry:resource_storage                                                  |        0 | Block of Apatite                              |                                                            |
| blockAquamarine                      | jaopca:block_blockaquamarine                                               |        0 | Block of Aquamarine                           |                                                            |
| blockAquamarine                      | naturalpledge:storage                                                      |        1 | Aquamarine Bricks                             |                                                            |
| blockArdite                          | tconstruct:metal                                                           |        1 | Block of Ardite                               |                                                            |
| blockAstralStarmetal                 | jaopca:block_blockastralstarmetal                                          |        0 | Block of Starmetal                            |                                                            |
| blockBaseEssence                     | mysticalagriculture:ingot_storage                                          |        0 | Block of Base Essence                         |                                                            |
| blockBauxite                         | jaopca:block_blockbauxite                                                  |        0 | Block of Bauxite                              |                                                            |
| blockBerkelium247                    | nuclearcraft:fertile_isotope                                               |        5 | Berkelium-247 Block                           |                                                            |
| blockBeryllium                       | nuclearcraft:ingot_block                                                   |        9 | Beryllium Block                               |                                                            |
| blockBlackIron                       | extendedcrafting:storage                                                   |        0 | Block of Black Iron                           |                                                            |
| blockBlaze                           | botania:blazeblock                                                         |        0 | Blaze Mesh                                    |                                                            |
| blockBloodBronze                     | bloodtinker:blood_bronze_block                                             |        0 | Blood Bronze Block                            |                                                            |
| blockBloodInfusedIron                | bloodarsenal:blood_infused_iron_block                                      |        0 | Blood Infused Iron Block                      |                                                            |
| blockBloodInfusedWood                | bloodarsenal:blood_infused_wooden_planks                                   |        0 | Blood Infused Wooden Planks                   |                                                            |
| blockBlutonium                       | bigreactors:blockblutonium                                                 |        0 | Blutonium Block                               |                                                            |
| blockBone                            | minecraft:bone_block                                                       |        0 | Bone Block                                    |                                                            |
| blockBone                            | tp:bone_block                                                              |        0 | Compressed Bone Block                         |                                                            |
| blockBoron                           | nuclearcraft:ingot_block                                                   |        5 | Boron Block                                   |                                                            |
| blockBoronArsenide                   | jaopca:block_blockboronarsenide                                            |        0 | Block of Boron Arsenide                       |                                                            |
| blockBoronNitride                    | jaopca:block_blockboronnitride                                             |        0 | Block of Boron Nitride                        |                                                            |
| blockBrass                           | techreborn:storage                                                         |        5 | Block of Brass                                |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        0 | Block of Bronze                               |                                                            |
| blockBronze                          | chisel:blockbronze                                                         |        1 | Block of Bronze                               |                                                            |
